valid_time,precip_mm,precip_mm_scaled,tmean_c,tmax_mean_c,tmin_mean_c,rh_mean_percent,wind_avg,wet_days,year,month
1990-01-01,7.8073732499999995,46.8442395,10.322946673387118,13.563581532258086,6.819363790322603,79.7636537324509,2.380551416778609,6,1990,1
1990-02-01,0.03385975,0.2031585,13.400780290178593,17.359296875000023,8.853969375000021,77.95597922866723,1.9162816105985883,0,1990,2
1990-03-01,5.3184635,31.910780999999997,16.237806572580666,20.328893951612926,11.670905806451632,60.45590532259729,2.951811622906798,6,1990,3
1990-04-01,16.072411250000002,96.4344675,15.52307447916669,19.667244416666687,11.056051500000024,66.07783389628459,2.5772548023674604,10,1990,4
1990-05-01,1.25434425,7.5260655,20.85308245967744,25.630997258064543,15.42206798387099,58.706228927526084,2.1791932353294308,2,1990,5
1990-06-01,0.40733725,2.4440235,23.351496854166687,28.00678700000002,18.551289333333354,59.19918810068539,2.557939894445325,1,1990,6
1990-07-01,0.14828325,0.8896995,28.11920965725809,33.48946580645163,22.023771451612923,49.95060849315525,2.132929793177772,0,1990,7
1990-08-01,0.208695,1.25217,27.712106310483897,32.644616532258084,22.213777338709704,52.99417689230836,2.066538458422319,1,1990,8
1990-09-01,0.49000875,2.9400524999999997,24.995437333333356,28.882785666666685,20.88081975000002,60.946150426774345,1.8867104564553663,0,1990,9
1990-10-01,10.14390575,60.863434500000004,19.03142165322583,22.357893306451636,15.644800080645187,70.74547699413539,2.692021846986664,9,1990,10
1990-11-01,8.176572,49.059432,13.539201041666692,16.993251500000024,10.064850333333359,74.53877116598814,2.4842216713384384,7,1990,11
1990-12-01,6.46759075,38.8055445,10.375182116935505,13.139107500000021,7.444585806451634,77.71357229151566,2.6131023060187983,8,1990,12
1991-01-01,2.07467325,12.4480395,9.804461955645184,12.945261451612927,6.340640725806474,75.70173965525538,2.4619249408703747,3,1991,1
1991-02-01,16.49037625,98.9422575,9.921903013392878,12.950387321428593,6.491977500000024,78.25385830064651,2.5227452620428408,11,1991,2
1991-03-01,17.79964425,106.7978655,13.887581572580666,17.060649677419377,10.501117580645182,75.52149733309072,2.883209289945369,10,1991,3
1991-04-01,5.499975,32.99985,15.066417250000024,19.36529891666669,10.208104000000025,67.95938843519062,2.2495983080911874,7,1991,4
1991-05-01,0.085023,0.510138,19.52548933467744,24.687678467741957,13.923483870967765,51.85887618483336,2.545396884879255,0,1991,5
1991-06-01,1.028588,6.171528,24.688218312500023,29.90379300000002,19.174004500000027,57.88744992057711,2.214903486110597,3,1991,6
1991-07-01,0.018821,0.112926,27.07169193548389,32.587068790322604,21.13842975806454,51.03468705127624,2.261624502634881,0,1991,7
1991-08-01,0.0,0.0,27.417922762096797,32.72571701612905,21.44161798387099,54.19444708288593,2.0877215596961363,0,1991,8
1991-09-01,7.2692415,43.615449,24.844957333333355,29.09979666666669,19.858738750000025,59.06351110172495,2.041160810026953,4,1991,9
1991-10-01,16.85686725,101.1412035,16.94800933467744,20.472921612903246,13.194091370967765,72.25430579846983,2.3705990921470885,7,1991,10
1991-11-01,3.26359675,19.5815805,13.353314666666689,17.292290500000025,9.159548750000022,70.56508826230639,2.391331257218808,3,1991,11
1991-12-01,3.7724262499999996,22.6345575,11.721394254032283,14.579796693548412,8.901172661290344,75.65682611641229,2.7049329547589744,6,1991,12
1992-01-01,0.50425375,3.0255224999999997,8.821020322580669,12.330462903225827,5.017108709677443,71.85737765312541,2.674655546974173,1,1992,1
1992-02-01,6.45923425,38.7554055,11.444449633620712,15.388881120689675,6.833307586206921,68.52715916137173,2.4116250398849197,4,1992,2
1992-03-01,3.5991482500000003,21.5948895,14.66332405241938,19.015148387096797,9.316842096774218,63.46507751547339,2.584715633216177,3,1992,3
1992-04-01,5.408549,32.451294,17.38451035416669,22.13925733333336,11.933168250000021,58.21451410984427,2.881148931804804,4,1992,4
1992-05-01,2.7740402499999997,16.6442415,21.171673004032282,25.829031854838732,16.002866451612928,54.17785983910583,2.798122304171569,3,1992,5
1992-06-01,8.93678875,53.6207325,20.442748187500023,24.288825500000023,16.39255316666669,64.35064218520026,2.57708329263709,6,1992,6
1992-07-01,0.10659325,0.6395595000000001,27.609859435483894,33.29297774193551,21.188769596774215,48.16473400832054,1.9671923787006123,0,1992,7
1992-08-01,0.138992,0.833952,27.1032450403226,32.55936935483873,20.94530870967744,49.23579172938623,2.242437193090454,0,1992,8
1992-09-01,5.564439999999999,33.38664,23.742025375000022,28.542095833333356,17.803043000000024,54.70222539403828,1.949412790472294,2,1992,9
1992-10-01,12.08460075,72.5076045,16.721023991935503,20.048430241935506,13.075952741935508,71.19823150461744,2.497281092321682,10,1992,10
1992-11-01,0.8981175,5.388705000000001,13.95617916666669,18.029027500000026,9.669367333333359,75.46422644059089,1.8045205774532311,1,1992,11
1992-12-01,5.15818825,30.9491295,11.674475826612927,14.499061612903247,8.793864758064538,77.05214786361816,2.6850791749280827,7,1992,12
1993-01-01,5.5821065,33.492639,9.023706491935508,13.000004596774216,4.484082016129057,75.56849370398484,2.023053469161774,4,1993,1
1993-02-01,3.6897735,22.138641,11.836134508928593,15.463058214285736,7.809408750000023,66.06035617891047,2.9179813934184486,6,1993,2
1993-03-01,8.15509425,48.9305655,14.30452169354841,18.458893225806477,9.566193145161314,65.18764854224519,2.1901141074284265,6,1993,3
1993-04-01,9.85328625,59.1197175,15.150276145833354,19.304620083333354,10.230627166666688,60.85107222168613,2.7885389142336328,10,1993,4
1993-05-01,9.5649265,57.389559000000006,17.598361814516153,21.410258790322604,13.604051774193573,70.23450379874423,2.4053590932961733,9,1993,5
1993-06-01,1.731372,10.388232,23.207090270833355,27.765845333333356,18.226469000000023,57.23585252030169,2.5043768404046896,6,1993,6
1993-07-01,0.0065667500000000005,0.0394005,27.8942054637097,33.68352612903228,21.644459112903252,46.14738492316923,2.1508972718568287,0,1993,7
1993-08-01,0.069617,0.41770199999999996,26.33692937500002,31.222405967741956,20.92032887096776,55.25638952764034,2.4099633360448593,0,1993,8
1993-09-01,2.0554354999999997,12.332613,21.722966937500026,25.601301333333357,17.118945333333354,60.171144111346614,2.466233163109009,2,1993,9
1993-10-01,20.95992575,125.7595545,16.361684032258086,19.485542177419376,13.009073709677443,73.75716120502942,3.2019697381670458,13,1993,10
