valid_time,tmax_c,tmin_c,tmean_c,precip_mm,precip_mm_scaled,wind_avg,wind_max,d2m_celsius,rh_mean_percent,rh_min_percent,heat_index_max_c,dtr_c,year,month,season,is_wet
1990-01-01,12.750482500000032,12.043572500000025,12.35056562500002,0.9043220000000001,5.4259319999999995,1.4498272399649277,1.792482892292886,11.645027500000023,95.49121112448137,92.34651605336467,12.492356446949005,0.7069100000000077,1990,1,DJF,True
1990-01-02,13.928800000000024,9.667477500000018,11.84893437500002,0.0537635,0.322581,1.8537626046839488,2.538527926177588,10.063095625000024,89.20178128958807,78.34932779198611,13.520147615092762,4.261322500000006,1990,1,DJF,False
1990-01-03,13.94052000000002,9.459132500000038,10.864483750000023,3.40904025,20.454241500000002,2.481461613083779,5.491289576171376,9.307976250000024,90.13199402945659,87.61344853172905,13.785014230239328,4.4813874999999825,1990,1,DJF,True
1990-01-04,11.924922500000022,4.885375000000025,8.738017500000026,0.0,0.0,2.070335027034668,2.3312449078010395,5.6776287500000215,81.52245041884966,73.38306826044835,11.0890837545784,7.039547499999998,1990,1,DJF,False
1990-01-05,12.03627250000001,5.629542500000028,9.059066875000017,0.0,0.0,1.9120956971086809,2.3142392273578443,6.583614375000025,85.00022462841645,72.71584256685301,11.194146750356731,6.406729999999982,1990,1,DJF,False
1990-01-06,14.329430000000016,7.587245000000024,10.646400000000025,0.0,0.0,1.894154251388711,2.1447153310173968,8.378268125000027,86.2796370577767,76.77671058285041,13.822653776329998,6.742184999999992,1990,1,DJF,False
1990-01-07,15.11098250000002,7.94967250000002,11.71486687500002,0.0,0.0,1.0762719760982011,1.3240304982985476,9.164340000000028,85.02551639511883,75.29836700859236,14.643760333002156,7.16131,1990,1,DJF,False
1990-01-08,13.164210000000026,8.414332500000029,11.265145000000022,0.0,0.0,4.09321528602468,5.533343086768575,5.62275187500002,68.92722134239006,58.18896293639481,12.055565032228111,4.749877499999997,1990,1,DJF,False
1990-01-09,13.176240000000021,7.723442500000019,10.885990000000021,0.0,0.0,3.719154525607907,4.308031421802464,5.186242500000031,68.13590049745225,61.77711382450873,12.162488638751086,5.452797500000003,1990,1,DJF,False
1990-01-10,12.397877500000021,5.214907500000024,8.891848750000015,0.0,0.0,2.5829941306333106,3.521424621253531,4.326125625000021,73.66586660338203,62.62269516099393,11.328368956981528,7.182969999999997,1990,1,DJF,False
1990-01-11,11.850485000000035,5.7815475000000305,9.182168125000025,0.0,0.0,3.3665758418190945,3.8697675837165977,4.03554812500002,70.54606940398492,61.37167079435469,10.693571570741518,6.068937500000004,1990,1,DJF,False
1990-01-12,12.565392500000016,4.569907500000028,8.472406250000024,0.0,0.0,2.187497758758522,2.3200126291019796,5.179546250000023,80.30803335973926,69.15416831200353,11.683179478146776,7.995484999999988,1990,1,DJF,False
1990-01-13,14.167540000000017,4.555657500000024,9.290194375000016,0.0,0.0,2.025276097817823,2.7887478042940046,5.75042812500002,79.68690160994396,68.03091143749165,13.416212243090083,9.611882499999993,1990,1,DJF,False
1990-01-14,14.905545000000018,5.663842500000015,10.732691250000023,0.0,0.0,1.9370932701522987,2.6858803068527752,6.562593125000021,76.70232802059678,63.33435561472932,14.105385452162396,9.241702500000002,1990,1,DJF,False
1990-01-15,12.98031250000004,5.44444500000003,9.66577187500003,0.0,0.0,2.428747627968921,3.200899651785379,5.645241250000019,76.92636677002396,66.32521160963324,12.087491955487382,7.535867500000009,1990,1,DJF,False
1990-01-16,14.247095000000016,6.778582500000027,10.623740625000021,0.0,0.0,2.969101768516121,4.232064092144963,6.112505000000027,74.65492506461922,60.377016559255416,13.303871043491682,7.468512499999989,1990,1,DJF,False
1990-01-17,12.739010000000036,7.046747500000009,10.355569375000027,0.003575,0.02145,2.3028880234439875,2.9107004443399527,6.861495000000026,79.23471634913334,72.43212812364581,11.959749901006353,5.692262500000027,1990,1,DJF,False
1990-01-18,13.123042500000011,4.522975000000031,9.346376875000022,0.0,0.0,1.4262200440552502,1.6959839037983238,6.244385625000028,81.99443323165895,68.51470579822475,12.27989740139811,8.60006749999998,1990,1,DJF,False
1990-01-19,12.022485000000017,4.7672375000000216,8.999260000000021,0.0,0.0,2.6447562740394663,3.673619617390579,4.027430625000022,72.30258188424065,57.64769637948432,10.884451837378625,7.255247499999996,1990,1,DJF,False
1990-01-20,12.915062500000005,4.801352500000007,8.818193125000011,0.0,0.0,2.5713713401250473,3.0616109563040528,3.9783268750000182,72.24219801142328,62.35272480318865,11.890223230972158,8.113709999999998,1990,1,DJF,False
1990-01-21,13.087055000000035,3.700735000000023,8.377128125000027,0.0,0.0,2.0534966910659476,2.5607211086597603,4.036532500000021,75.46539635381146,61.19776191779194,12.049257616742388,9.386320000000012,1990,1,DJF,False
1990-01-22,14.95510250000001,2.639917500000024,8.78467687500002,0.0,0.0,1.4869317542620388,1.9104902923498028,3.914706875000018,73.9819535548654,53.36563662340157,13.899604372944383,12.315184999999985,1990,1,DJF,False
1990-01-23,13.030477500000018,2.263760000000005,7.832084375000019,0.0,0.0,1.8600634182269589,2.1909005386364573,3.7513887500000216,76.89510692836939,63.31812374412582,12.042387369985526,10.766717500000013,1990,1,DJF,False
1990-01-24,13.793360000000035,5.124535000000023,9.684861875000028,0.00143125,0.008587500000000001,1.0812794257146519,1.5330908422476788,6.85968937500002,82.94949060621985,73.61498288839746,13.37873309832031,8.668825000000012,1990,1,DJF,False
