valid_time,t2m,d2m,u10,v10,tp,t2m_celsius,d2m_celsius,precip_mm,precip_mm_scaled,wind_speed,dewpoint_depression_c,wind_dir,rh_percent,heat_index_c,year,month,hour,season,decade,t2m_anom
1990-01-01 00:00:00,285.5542925,284.7275925,0.7658081125,1.2973480252499998,0.0,12.404292500000011,11.577592500000023,0.0,0.0,1.6517066596846994,0.8266999999999882,210.55281551202066,94.70091437879753,12.17302340322417,1990,1,0,DJF,1990s,2.730548183051205
1990-01-01 06:00:00,285.1935725,284.5375375,-0.3605804425,0.8224182175,9.6475e-06,12.043572500000025,11.387537500000022,0.0096475,0.05788499999999999,1.0843054660939995,0.6560350000000028,156.32546755297693,95.76241179496387,11.803948280201865,1990,1,6,DJF,1990s,3.9573361919487873
1990-01-01 12:00:00,285.353915,285.2249175,0.3599700975,1.09751893,0.00087833425,12.20391500000001,12.074917500000026,0.87833425,5.2700055,1.270813941788126,0.12899749999998278,198.15873106278528,99.1550022707994,12.06890933707088,1990,1,12,DJF,1990s,-1.9713670605468891
1990-01-01 18:00:00,285.9004825,284.6900625,1.265060425,1.2512207,1.634025e-05,12.750482500000032,11.540062500000019,0.01634025,0.0980415,1.792482892292886,1.2104200000000134,225.31512768129278,92.34651605336467,12.492356446949005,1990,1,18,DJF,1990s,-0.33393696207681245
1990-01-02 00:00:00,282.8174775,282.3985625,0.021636957499999998,-0.28512574749999997,0.0,9.667477500000018,9.24856250000002,0.0,0.0,1.178463701076209,0.41891499999999837,355.66038888545813,97.22463797765994,9.228424130527806,1990,1,0,DJF,1990s,0.3714050200737802
1990-01-02 06:00:00,283.1298825,282.29712,-1.387878425,-0.4268188475,2.2413499999999998e-05,9.979882500000016,9.147120000000044,0.022413500000000003,0.13448100000000002,1.5102684582702253,0.8327624999999728,72.90559335691592,94.56289859792068,9.50256865783461,1990,1,6,DJF,1990s,2.3275980845811564
1990-01-02 12:00:00,287.0788,283.37182,-0.49739074,2.475418125,3.1349999999999996e-05,13.928800000000024,10.221820000000022,0.031349999999999996,0.1881,2.538527926177588,3.7069800000000015,168.63873034460943,78.34932779198611,13.423023559012996,1990,1,12,DJF,1990s,-0.11785996066623206
1990-01-02 18:00:00,286.9695775,284.78488,-0.6325531074999999,2.06399535,0.0,13.819577500000022,11.63488000000001,0.0,0.0,2.187790333211773,2.184697500000013,162.96125766481094,86.67026079078552,13.520147615092762,1990,1,18,DJF,1990s,0.7632238935004345
1990-01-03 00:00:00,287.09051999999997,285.76477,2.8926697,4.642990125,0.00108087075,13.94052000000002,12.614770000000021,1.08087075,6.4852245,5.491289576171376,1.3257499999999993,211.92367830649158,91.71906413682443,13.785014230239328,1990,1,0,DJF,1990s,4.552138869357634
1990-01-03 06:00:00,283.2284525,282.207145,1.7055054,0.8947296199999999,2.145e-06,10.078452500000012,9.057145000000034,0.0021449999999999998,0.01287,1.9275658636592112,1.0213074999999776,242.31793042412312,93.37373073411213,9.579945163612939,1990,1,6,DJF,1990s,2.202170482855891
1990-01-03 12:00:00,283.12982999999997,281.2038,0.14543151999999998,-0.05143737500000001,0.0021134615,9.979830000000021,8.05380000000001,2.1134614999999997,12.680769,0.5619890787116274,1.9260300000000115,289.47807298781896,87.82173271516078,9.326491576451442,1990,1,12,DJF,1990s,-3.8526097775607635
