,raw,corrected,delta,pct_change
tmax_mean,25.356586119178107,24.394039321666295,-0.9625467975118127,-3.7960425468466497
tmin_mean,16.48116905650687,15.035146502021334,-1.4460225544855376,-8.773786310471943
tas_mean,20.818082202054818,19.86409515234651,-0.9539870497083065,-4.582492471924934
precip_total,248.14500241052036,453.71226733784454,205.56726492732417,82.84158976824469
days tmax>=35 C,67.15,43.95,-23.200000000000003,-34.54951600893522
tropical nights tmin>=20 C,131.3,89.3,-42.000000000000014,-31.987814166032
heatwaves,14.95,9.75,-5.199999999999999,-34.782608695652165
heatwave days,94.95,53.8,-41.150000000000006,-43.33859926276989
wet days,46.0,49.6,3.6000000000000014,7.826086956521742
