year,tas_mean,rh_mean,heat_index_mean,wind_mean,tas_p95,tas_p05,tmax_mean,tmin_mean,precip_total,days tmax>=30 C,days tmax>=33 C,days tmax>=35 C,days tmax>=37 C,days tmax>=40 C,tropical nights tmin>=20 C,days heat index>=35 C,heatwaves,heatwave days,longest (days),wet days,mean intensity (mm/wet day),max 1-day (mm),P95 wet-day (mm),longest dry spell (days)
2026,19.788070560791727,60.77012045951657,19.314533509453877,2.501721659492325,30.577711008771693,10.416535519940734,24.371083337199554,14.853419692697727,420.5772458920375,116,73,51,26,6,89,0,7,47,11,54.0,7.595851490311421,36.79800251550122,19.234007484107156,107.0
2027,19.187595574174928,57.61018846414227,18.660599504639503,2.609699431876072,28.975870115752773,10.07658504637522,23.44403461718379,14.342875746467064,397.4800381054589,96,38,19,5,0,73,0,5,26,8,38.0,9.908138509023336,57.76982343023122,40.90481428683751,129.0
2028,20.740773208830316,54.051985360039296,20.223049040140275,2.4305596203733755,32.40736467596741,8.84315786271911,25.491250229694604,15.75400461035072,96.36010101718054,113,77,58,37,10,104,3,15,83,14,19.0,4.426453922839084,12.815933235730526,9.174830218712035,133.0
2029,19.815023077939404,57.41142559590699,19.308606746002024,2.664444393958024,30.333573786361676,7.968635532569606,24.281342263145714,14.997477418003816,489.1499502162439,122,81,49,22,0,115,0,11,50,9,44.0,10.719239486906853,95.55700447127653,43.43593250470027,106.0
2030,18.833815600577434,60.24554379422553,18.31169328610903,2.610138037578267,30.395561458314987,8.91335191011264,23.2051285462919,13.997693393449635,340.389901934006,89,52,30,17,3,77,3,5,27,9,49.0,6.607405133425208,22.376818136582806,18.86254669772673,109.0
2031,19.344637613046924,65.8075836259014,19.053431949710866,2.770941041503316,29.6876493894992,10.59600735195848,23.523766663979508,14.777169458555173,965.1289598704809,86,57,30,10,2,71,2,6,30,10,93.0,10.170863488146397,78.7252080760033,37.816804195143966,102.0
2032,20.152524533376386,63.999083764704814,19.915448902198797,2.4563882332027194,29.562200085677134,11.317511330559567,24.643594316810926,15.484599926949164,387.1161450596773,95,51,34,14,0,82,0,13,76,13,49.0,7.530640107558898,49.902074261148584,24.49298758147767,97.0
2033,20.292575157604876,63.3120283094222,20.092190923295863,2.4605446267226596,31.10367067522599,9.601402982692342,25.10446179275618,15.345479833899583,654.4136569941585,123,88,54,32,3,93,3,14,76,14,57.0,11.134074220464575,58.70598736177102,34.21981818334784,140.0
2034,19.423072301122613,61.860650774663064,18.972982456944774,2.492547275967237,30.384151744297323,8.737496409486141,24.03602886907521,14.417628580216551,487.4129759193113,102,71,52,21,0,92,0,7,39,11,58.0,8.07731706351645,71.69762935827373,20.46627539312321,98.0
2035,19.528950894899648,61.06969314402138,19.133868653802903,2.66988659490583,30.386598912521315,8.026764494657744,24.224820342418905,14.445038434485735,660.8245562750109,129,91,51,18,0,107,0,6,42,14,53.0,12.219836955218012,77.69703699621058,53.473620203208014,150.0
2036,19.2034810295938,64.93676296611609,18.903878150312096,2.4351532949170887,29.575962149468626,9.207215363823094,24.002761772777028,14.22251546472955,353.08143565508465,88,39,26,12,4,52,4,10,42,8,41.0,8.237862262181482,43.0996324819116,24.467638650976006,126.0
2037,19.043349682503273,63.5626985303158,18.691663434851762,2.6184295473762895,28.21341014639034,10.255538477354309,23.529656263487638,14.18250298269581,686.7243137381585,90,44,22,7,0,48,0,6,23,6,62.0,10.81561074885476,45.635448228120644,40.578141491793794,88.0
2038,20.189497093275946,61.56792886686595,19.97043115465313,2.61427682788749,31.129318220484485,10.168949076067578,24.77519938339487,15.47952173221598,372.2481790429366,107,81,52,22,1,93,0,11,49,7,37.0,9.465124685241715,74.35341083070807,36.549036419493355,90.0
2039,20.190078117316915,61.75063166285848,19.860286923623697,2.5628863250604863,31.000952913276382,11.02148137000446,24.785555037172664,15.376145118019608,356.436535621909,105,65,47,28,0,93,0,13,63,10,52.0,6.492227056181563,31.455376114032724,21.64501565443776,82.0
2040,20.096453076787014,64.80653126966452,19.884111091400687,2.528071933298439,30.986423727624942,11.745274709895485,24.34202362621111,15.5420851214476,471.0606779667617,102,65,41,20,0,91,0,10,61,22,63.0,7.172294981849137,30.952207152922007,22.658640061419096,119.0
2041,21.19624596232668,57.04574370502626,20.92664253638176,2.659083943641463,31.849592123364694,10.115488433377251,25.89913477947256,16.40631377692564,222.56397798064114,115,89,61,33,6,109,7,16,108,14,27.0,7.735498964226416,39.023971709170524,30.040669033984575,86.0
2042,19.662724639420002,56.65835465172408,19.245887778955808,2.6256683066065336,31.145064073048374,8.739928614490108,24.26313072875743,14.763631227382193,218.70229437230873,103,72,46,16,0,96,1,5,34,10,31.0,6.574102303436147,26.367496657862944,14.973778547884486,117.0
2043,20.071875711113805,59.74292261614115,19.70643115799811,2.54644148386985,30.382062408381305,9.562609773489845,24.74930140071027,15.187064219725983,315.4787930940401,115,70,48,20,3,96,0,10,54,13,41.0,7.3024771443957865,25.72680584628386,22.09057384919176,119.0
2044,20.68264173953138,59.25461546562171,20.33744964317471,2.517559572974815,31.90590447757998,10.310507528370962,25.19192845980123,15.928250862133954,327.9036671547912,133,77,59,34,9,108,1,16,91,11,46.0,6.731111579868425,38.068710888797234,18.73194141471489,133.0
2045,19.8385174726971,63.784783432560744,19.61546290154527,2.662608014853644,31.338938163923423,9.243947554583915,24.01658400298474,15.199512440075202,851.1919408466924,116,78,49,21,0,97,0,9,55,14,78.0,10.626500445723739,55.98526668853802,28.30246904590622,157.0
