start,length,peak,mean_tmax,year
2026-05-19,3,33.579643111594045,33.424367584095435,2026
2026-06-05,7,40.282434923507935,38.00181884747407,2026
2026-06-14,11,41.686975000000004,38.52784437621308,2026
2026-06-26,4,39.63810331728943,38.3842719735713,2026
2026-10-25,10,31.13096325523551,28.810237866681156,2026
2026-12-02,8,20.309631086935827,19.390573512474315,2026
2026-12-23,4,20.743337404388225,19.837664609402495,2026
2027-01-31,8,21.15730500000004,19.8091490742833,2027
2027-05-11,5,32.79640808807995,32.071836629745874,2027
2027-06-05,3,37.25576467616683,37.13659142927887,2027
2027-06-11,3,37.06652219932738,36.38193583873297,2027
2027-12-03,7,19.58584797941456,19.01424176153745,2027
2028-01-01,4,21.168227500000032,20.25582042902197,2028
2028-03-12,4,24.17538494319647,23.87415263732705,2028
2028-03-19,3,24.75809407618314,24.598367212263195,2028
2028-04-10,14,31.878888877498813,28.73470450135296,2028
2028-05-01,3,29.94835784105508,29.746314713679098,2028
2028-06-02,10,41.39307249999999,38.6541760407929,2028
2028-06-29,3,39.45914839496522,38.423359398606266,2028
2028-07-07,3,42.248260734997096,39.66745762894467,2028
2028-07-17,7,40.040898934013356,39.21330655834406,2028
2028-08-05,6,40.24663102545833,39.53751235310435,2028
2028-08-14,7,40.48274834403575,39.55370506517282,2028
2028-09-18,3,34.2481320806907,33.66903912521769,2028
2028-09-26,7,32.588420431976246,31.502020581960902,2028
2028-10-12,4,30.2319434143585,29.48017750653346,2028
2028-10-20,5,27.82751150216857,27.464570890856276,2028
2029-04-23,3,29.163927100039146,28.80134952798629,2029
2029-06-04,8,38.96687679664281,36.812262072376896,2029
2029-07-03,3,38.79017306740455,38.368226838084965,2029
2029-08-04,5,39.626559072987774,39.11464241876269,2029
2029-08-18,3,39.079292555864434,38.57405903357818,2029
2029-09-05,5,36.10576855488948,35.534763005995096,2029
2029-09-11,4,34.69021597921213,34.195987076794715,2029
2029-10-04,3,31.445975767746365,31.02536088090984,2029
2029-10-14,9,30.77060921543977,28.627315903109505,2029
2029-11-12,3,23.285172400897913,22.980011353890898,2029
2029-11-18,4,26.62392078149802,23.441125622628512,2029
2030-03-28,7,27.92467081078504,25.970149803850507,2030
2030-06-10,3,35.64417342364032,35.32651141097046,2030
2030-07-15,9,39.34194898987818,38.70430782228251,2030
2030-07-28,4,44.58645500000006,42.67313092762654,2030
2030-12-10,4,18.44542905491965,18.194474358347776,2030
2031-05-13,3,35.120011709608704,34.43896143213342,2031
2031-06-15,6,38.90506117248133,37.27758543752031,2031
2031-07-21,4,42.41120398805826,40.133274472664596,2031
2031-11-08,4,28.071920000000006,24.480227992191853,2031
2031-11-16,10,30.183745000000016,26.014968253549956,2031
2031-11-30,3,19.52103069585107,18.93876470247098,2031
2032-01-07,5,21.808205000000033,18.838415474883508,2032
2032-01-14,3,17.21773606112724,16.736608349011377,2032
2032-01-21,4,18.574502357391424,17.445350126801873,2032
2032-02-08,6,21.744186262081513,20.139018958053104,2032
2032-03-17,6,25.603879826719957,24.90663886215664,2032
2032-07-14,4,38.65294803216172,38.402286027956066,2032
2032-08-21,4,38.83208707455048,38.435801098025586,2032
2032-10-07,4,30.617538441132773,30.408304619120837,2032
2032-10-12,10,30.03795847709768,28.753022850641266,2032
2032-11-01,10,27.366562500000015,25.126615318360507,2032
2032-11-14,13,24.82667659151333,22.81587699784155,2032
2032-12-02,4,20.700880818484755,19.32164097078691,2032
2032-12-19,3,18.449497850751015,17.830118985319487,2032
2033-03-04,3,22.374712903743507,22.22959232012722,2033
2033-03-16,6,24.78514130888662,24.59511248306509,2033
2033-04-26,14,35.75021621913182,32.349448958995374,2033
2033-05-23,3,33.42851724542238,33.15589325745723,2033
2033-05-29,12,38.42774560085414,36.54752464430381,2033
2033-06-29,5,39.242159714993456,38.38236534057083,2033
