month,t2m_celsius,d2m_celsius,rh_percent,heat_index_c,dewpoint_depression_c,wind_speed,precip_mm
1,10.619687712446119,6.359248852565337,76.4946842560464,9.734573239265275,4.260438859880783,2.599634088728635,0.07271407438640463
2,12.291955829674848,6.591469994166574,70.83543668582917,11.42629892610565,5.700485835508273,2.584855728885732,0.06709513793363124
3,14.92995084443344,8.017477377789701,66.67433626667727,14.21900110073289,6.91247346664374,2.655313957863247,0.08183529140812731
4,17.089816560329883,9.2265396289334,63.554516399815405,16.496952498600418,7.863276931396484,2.6510682279763347,0.06911741909908672
5,20.83246648710957,10.938250005908838,57.70382185145545,20.328588914634018,9.894216481200734,2.528498270582635,0.04266102893683022
6,25.047868650381606,13.197556868044277,51.84849177729347,24.71016724524381,11.85031178233733,2.5610017557148472,0.011051678061237885
7,27.745954622581806,14.508093751273229,48.167452555160814,27.609347739904035,13.237860871308575,2.395437621263936,0.002740464158307694
8,27.719847435639654,15.168668640362068,50.10716678416133,27.759966896693722,12.551178795277584,2.3073641119817743,0.003203382584670952
9,24.213929962280297,14.362199941632328,57.87688674407959,24.097241696612034,9.851730020647969,2.2295158480678112,0.04095331298449452
10,19.92162965954198,12.729564296999719,66.58530802164775,19.673285639867476,7.192065362542265,2.362773588408465,0.09203002976399013
11,14.486381107935046,9.385758849686257,73.35476829788125,13.906002021666279,5.100622258248789,2.4909224016267615,0.08213299520602708
12,11.57863077452303,7.604947441511279,77.915366529105,10.826506200235297,3.973683333011751,2.650708445078336,0.1012452867687586
