valid_time,lat,lon,tas,tasmax,tasmin,pr,huss,sfcWind,psl,precip_mm_day,relative_humidity_pct
2082-01-21,39.10994764397907,23.75,286.80457,287.40103,286.2154,2.553739e-09,0.0058003464,2.7410564,103201.34,0.00022064305,61.4767
2082-01-21,39.10994764397907,21.25,284.1604,288.53494,280.9229,1.9321684e-08,0.0056791906,1.7584413,103206.34,0.0016693935,71.61139
2082-01-21,39.10994764397907,22.5,281.80225,288.14127,277.6999,1.792894e-08,0.0048619616,1.2345955,103234.57,0.0015490605,71.846954
2082-01-22,39.10994764397907,21.25,284.8765,288.76147,281.44525,1.7555925e-06,0.006556257,1.821626,102902.52,0.1516832,78.572395
2082-01-22,39.10994764397907,22.5,282.3665,288.61008,277.44586,8.81698e-07,0.0053387387,1.1698902,102957.56,0.07617871,75.721695
2082-01-22,39.10994764397907,23.75,287.35388,288.0481,286.63556,2.3924477e-07,0.0063821482,1.6820384,102935.875,0.020670747,65.08563
2082-01-22,40.0523560209424,21.25,281.42938,287.59183,276.86594,7.912181e-07,0.0046633813,1.0471841,102916.05,0.068361245,70.464035
2082-01-22,40.0523560209424,22.5,280.65164,287.78342,275.2505,4.5705337e-07,0.004278577,0.81979847,102959.586,0.03948941,68.2049
2082-01-22,40.0523560209424,23.75,286.82437,288.0305,285.7877,1.8449714e-07,0.006012214,1.7935947,102880.21,0.015940553,63.43414
2082-01-23,40.0523560209424,22.5,282.37323,285.03036,278.33383,3.1438827e-05,0.00684271,1.8574514,101978.08,2.7163146,95.9988
2082-01-23,40.0523560209424,21.25,283.24646,285.48843,279.58203,5.6329583e-05,0.00732546,1.5010484,101850.69,4.866876,96.77834
2082-01-23,40.0523560209424,23.75,287.5847,288.44202,286.1443,3.325183e-05,0.008095515,4.409861,101947.0,2.872958,80.47134
2082-01-23,39.10994764397907,22.5,284.3901,286.67923,280.7671,3.4675388e-05,0.007815705,2.0506427,101975.05,2.9959536,95.7808
2082-01-23,39.10994764397907,23.75,288.7863,289.57742,287.33536,3.759828e-05,0.008664954,5.5707984,101987.1,3.2484915,79.73347
2082-01-23,39.10994764397907,21.25,287.03647,288.80853,284.53177,5.5312325e-05,0.008829169,2.3278875,101831.91,4.778985,90.79073
2082-01-24,39.10994764397907,21.25,286.09296,287.20877,284.58832,0.00018389872,0.007930296,4.4241242,100798.41,15.888849,85.879524
2082-01-24,39.10994764397907,22.5,284.72852,286.3294,282.2563,0.00012226397,0.007725879,3.0655763,100752.45,10.563607,91.47987
2082-01-24,39.10994764397907,23.75,288.86356,289.84286,287.56735,9.713062e-05,0.0083972905,8.613129,100637.92,8.392086,75.88462
2082-01-24,40.0523560209424,21.25,283.67432,285.05063,279.56232,0.00017194272,0.0074659027,2.6428723,100688.27,14.855851,94.75675
2082-01-24,40.0523560209424,22.5,283.62637,285.1639,279.59702,0.00011859606,0.007492615,2.8713634,100648.97,10.246699,95.361115
2082-01-24,40.0523560209424,23.75,287.76843,288.77863,286.14676,0.00011189927,0.00839526,6.8556495,100520.96,9.6680975,81.298904
2082-01-25,40.0523560209424,21.25,283.72287,286.88147,278.58435,5.230512e-06,0.0064943107,2.6128087,101346.35,0.45191625,82.74499
2082-01-25,39.10994764397907,21.25,286.40445,288.72116,282.55313,1.0948874e-05,0.007006847,3.602733,101487.914,0.9459827,74.90291
2082-01-25,39.10994764397907,22.5,284.81003,288.67166,279.26578,2.224354e-07,0.0058881077,2.490607,101509.96,0.019218419,69.94434
2082-01-25,39.10994764397907,23.75,288.1115,289.60156,286.38678,1.679301e-08,0.006365851,6.676892,101399.875,0.001450916,60.90115
2082-01-25,40.0523560209424,22.5,283.19678,287.27585,277.4486,1.2295662e-06,0.0056717633,2.4907553,101405.88,0.10623452,74.92679
2082-01-25,40.0523560209424,23.75,286.54877,288.6458,284.16776,3.973405e-07,0.0061259507,5.862345,101298.49,0.03433022,64.786896
2082-01-26,40.0523560209424,22.5,285.49918,288.55185,281.4032,3.23448e-05,0.007913408,2.4602237,101224.26,2.7945907,89.47179
2082-01-26,40.0523560209424,21.25,285.84537,288.81158,281.95102,9.216984e-05,0.008086036,2.9739542,101210.414,7.963474,89.350784
2082-01-26,40.0523560209424,23.75,289.56644,290.41177,288.61972,2.5180248e-05,0.008839912,6.669136,101148.195,2.1755736,76.74975
2082-01-26,39.10994764397907,22.5,286.44818,288.88287,282.91495,2.9788282e-05,0.008342155,2.655201,101423.52,2.5737076,88.79536
2082-01-26,39.10994764397907,21.25,287.80054,289.33984,285.2119,0.00010149301,0.009242576,4.001119,101426.93,8.768996,90.078
2082-01-26,39.10994764397907,23.75,290.63733,291.35226,289.67245,1.1954059e-05,0.0093084,7.9292974,101338.04,1.0328307,75.63792
2082-01-27,40.0523560209424,23.75,288.45215,289.22678,287.48904,2.8644382e-09,0.0058320123,5.374439,102118.805,0.00024748748,54.991318
2082-01-27,40.0523560209424,22.5,283.85028,288.62167,279.67078,5.650261e-07,0.005460527,2.441681,102287.19,0.048818253,69.67019
