variable,month,mean_bias_hist_vs_obs,mean_correction_applied
tmax_c,1,0.7383764096774161,-0.7343034794115604
tmax_c,2,0.17098253246661166,-0.2149202279606868
tmax_c,3,0.12999543870967756,-0.24730024514404056
tmax_c,4,0.7649196099999998,-1.119880911962801
tmax_c,5,0.9054742322580651,-1.0265195564302065
tmax_c,6,0.7313839900000012,-0.680052118547738
tmax_c,7,2.178400964516129,-2.1408315990046476
tmax_c,8,2.7280496129032272,-2.6915311195222618
tmax_c,9,2.0058997100000013,-1.8581263679418203
tmax_c,10,0.6235905483870923,-0.6283590363655215
tmax_c,11,0.07295355666666481,0.2911049043059267
tmax_c,12,0.49464813225806736,-0.3264738992607132
tmin_c,1,-0.18489290322580842,0.5262983319484427
tmin_c,2,-0.07404539263456211,0.4529385087252216
tmin_c,3,0.20998114193548467,-0.19675278654452621
tmin_c,4,1.3802267533333339,-1.687754484634946
tmin_c,5,1.6252503483870964,-1.9701329386526565
tmin_c,6,2.078050333333337,-2.3502393443485654
tmin_c,7,4.196833603225805,-4.230124457683227
tmin_c,8,4.462603267741937,-4.500221193875807
tmin_c,9,3.198089796666668,-3.361707716482686
tmin_c,10,1.1281011419354812,-1.188802407084377
tmin_c,11,0.1720879533333317,0.5677333318505666
tmin_c,12,-0.43409518709677375,1.0772140927961753
tmean_c,1,-0.29785018629032045,0.49868368620416403
tmean_c,2,-0.5514244098087797,0.6112539739696464
tmean_c,3,-0.22844659193548544,0.07942228999691493
tmean_c,4,0.8639968258333326,-1.3101754419202523
tmean_c,5,1.1874151766128982,-1.4851396090976479
tmean_c,6,1.3404560658333295,-1.5133634015247142
tmean_c,7,3.0413548596774227,-3.1304993672075345
tmean_c,8,3.3535247000000012,-3.446564570024004
tmean_c,9,2.257509017500002,-2.2961791424316615
tmean_c,10,0.6202883024193575,-0.7665345590783897
tmean_c,11,-0.18294509250000068,0.6867161907271068
tmean_c,12,-0.4152243080645146,0.9255105245711327
wind_avg,1,-0.49394111070039015,0.610710193717649
wind_avg,2,-0.09237889146164058,0.11873673762662117
wind_avg,3,0.002046579329962217,0.04856353751965878
wind_avg,4,0.08866047048619263,-0.0781181532855889
wind_avg,5,0.3540873209265154,-0.35054896460133544
wind_avg,6,0.28641613537726673,-0.29450893018983193
wind_avg,7,0.3654864358904919,-0.37188526018446905
wind_avg,8,0.3231548164277007,-0.33228311617786715
wind_avg,9,0.253289708188261,-0.2545379679187246
wind_avg,10,-0.09089847857299116,0.09586127891752473
wind_avg,11,-0.21990772797462377,0.19914814477794626
wind_avg,12,-0.5342612194761416,0.495746508725311
rh_mean_percent,1,-0.21400887379071776,-0.32291237101133835
rh_mean_percent,2,-2.1421807115367386,1.4191520613972242
rh_mean_percent,3,-7.606438041094208,8.227978382660707
rh_mean_percent,4,-10.873784717347824,11.666016786773644
rh_mean_percent,5,-13.58453762245842,13.668335818587131
rh_mean_percent,6,-11.286258344050047,11.576018337977684
rh_mean_percent,7,-16.26141468899385,16.497779690215758
rh_mean_percent,8,-19.964820776349647,20.233626684707282
rh_mean_percent,9,-17.62606847639472,16.707517597686405
rh_mean_percent,10,-11.557390002660263,11.465111330920072
rh_mean_percent,11,-2.3773917619705855,2.532490399724703
rh_mean_percent,12,0.09650255048710221,-0.3316695423137843
precip_mm_day,1,-0.9712616058333297,1.2605075063388558
precip_mm_day,2,-0.9540289778536001,0.8851898297719943
precip_mm_day,3,-0.5002530228667446,0.41494223802994773
precip_mm_day,4,-0.320512661194317,0.20365053767276492
precip_mm_day,5,-0.18747143742652173,0.38772157030381754
precip_mm_day,6,0.5268084451317241,-0.34282566143662835
precip_mm_day,7,0.07681213883895148,-0.08360289547542062
precip_mm_day,8,0.04859669210088381,-0.028803175061019225
precip_mm_day,9,-0.7657977495924322,1.2042065796835637
precip_mm_day,10,-1.4293080177414845,0.8991457674301431
precip_mm_day,11,-0.8776387175207769,0.5681101145797705
precip_mm_day,12,-1.6254745162847877,1.2806027559306226
