year,cmip6_tmax_mean,era5_ols_last20yr_extrapolated,gap_c
2026,24.969644123287694,23.858188267136104,1.11145585615159
2027,24.611044417808237,23.87784905680302,0.7331953610052189
2028,25.458662945205504,23.897509846469926,1.561153098735577
2029,25.271251794520573,23.917170636136834,1.3540811583837389
2030,25.300786801369885,23.936831425803742,1.3639553755661424
2031,24.564097445205505,23.95649221547065,0.6076052297348546
2032,25.18531672602742,23.976153005137565,1.2091637208898547
2033,25.700278760273996,23.995813794804473,1.7044649654695228
2034,25.392992349315094,24.01547458447138,1.377517764843713
2035,25.874673226027422,24.03513537413829,1.8395378518891334
2036,25.22685164383564,24.054796163805204,1.172055480030437
2037,25.859702917808242,24.07445695347211,1.7852459643361307
2038,26.421038534246595,24.09411774313902,2.3269207911075753
2039,26.41218533561646,24.113778532805927,2.2984068028105327
2040,26.322327767123312,24.133439322472835,2.188888444650477
2041,24.507402958904134,24.15310011213975,0.3543028467643836
2042,25.403210308219197,24.172760901806658,1.2304494064125393
2043,26.547040171232897,24.192421691473566,2.3546184797593313
2044,26.176137143835636,24.212082481140474,1.9640546626951618
2045,25.89771171232879,24.23174327080738,1.6659684415214073
