,raw,corrected,delta,pct_change
tmax_mean,25.55511785410961,24.59982665357098,-0.9552912005386318,-3.7381600272487416
tmin_mean,16.819103893150704,15.402021892339373,-1.4170820008113303,-8.425431044447102
tas_mean,21.084843321575363,20.145244109720487,-0.9395992118548762,-4.456277893672646
precip_total,266.03251024965874,467.857999390664,201.82548914100528,75.86497189820963
days tmax>=35 C,69.0,42.95,-26.049999999999997,-37.75362318840579
tropical nights tmin>=20 C,132.0,94.9,-37.099999999999994,-28.106060606060602
heatwaves,16.15,10.15,-5.999999999999998,-37.1517027863777
heatwave days,98.05,56.05,-42.0,-42.835288118306984
wet days,48.9,51.2,2.3000000000000043,4.703476482617596
