valid_time,year,month,precip_3mo_raw,spi3_raw,precip_3mo_corrected,spi3_corrected
2026-01-01,2026,1,,,,
2026-02-01,2026,2,,,,
2026-03-01,2026,3,54.16415766747411,-1.2619639581946118,98.1557667622863,-0.48201895242709153
2026-04-01,2026,4,130.75614833863688,-0.2206319312990944,192.03662213410354,0.6690078147963228
2026-05-01,2026,5,105.5897877456966,-0.568522029532027,133.06164609022082,-0.01771985802979081
2026-06-01,2026,6,120.35396417854997,0.7115010812405019,104.74459162539247,0.3925587077866954
2026-07-01,2026,7,54.6149406541555,0.5519462215311983,10.061615148452516,-1.0354498665539096
2026-08-01,2026,8,54.0254125092111,2.1774807376721923,10.106155034639077,0.1983212447633231
2026-09-01,2026,9,29.7231947053357,0.06853484496606119,41.2146661143203,0.44757846582313143
2026-10-01,2026,10,24.485973552960893,-1.807915251516556,57.40685155605901,-0.7152725695746187
2026-11-01,2026,11,48.752134837416556,-1.843400001626973,90.30518658183578,-0.9051509907406027
2026-12-01,2026,12,49.01588644848988,-2.0751481832624474,91.36053196093906,-1.2183052342609624
2027-01-01,2027,1,46.89758221028414,-1.3778645893417554,85.61149640250224,-0.767195301323725
2027-02-01,2027,2,63.34189825163622,-0.9113085267246378,141.7680404648197,-0.03729636046384002
2027-03-01,2027,3,95.02896999367344,-0.5280953813218687,164.71824385119493,0.3225990132405113
2027-04-01,2027,4,212.66605492356985,0.9253888686908118,309.29887864220484,1.950638604430997
2027-05-01,2027,5,260.0545807942153,1.8445717760989178,388.3179721608144,3.1951469285153946
2027-06-01,2027,6,299.6592920300333,3.2551385354530504,407.0291967964181,4.329802320279338
2027-07-01,2027,7,185.66265556856692,2.4179835730245722,251.51286608612125,3.03839250393258
2027-08-01,2027,8,93.35460110859776,3.16347632350016,81.23758867417249,2.8905859949006567
2027-09-01,2027,9,8.64581168226351,-1.0682527269262903,1.223837603916276,-2.3046338450110344
2027-10-01,2027,10,2.953308983606549,-3.7453348542182243,6.230638499649391,-3.150707114341922
2027-11-01,2027,11,33.18781423985629,-2.354749259032653,62.726890940735785,-1.479261818627495
2027-12-01,2027,12,45.781891350293634,-2.160883186052119,96.14302758339532,-1.14137591739579
2028-01-01,2028,1,45.07097899256591,-1.4148993341028442,93.77670132088184,-0.6656413114597711
2028-02-01,2028,2,17.49145590514361,-1.9740929020799352,43.42993180284476,-1.2577572135165123
2028-03-01,2028,3,15.678375390826925,-2.5458668803735094,24.3797914714809,-2.130980009926066
2028-04-01,2028,4,22.21746104749391,-3.22545007223053,27.374776859232515,-2.93963704535201
2028-05-01,2028,5,65.90666500975422,-1.5752576379733831,99.76733079043474,-0.6975136773235686
2028-06-01,2028,6,57.07261706953449,-0.8418523018640668,85.53768445916958,-0.0465081260745698
2028-07-01,2028,7,68.68259620821799,0.8399955815854918,96.88946208800205,1.3195699601189241
2028-08-01,2028,8,24.910765894662312,1.1107081406677421,19.46887517247297,0.8322060321746618
2028-09-01,2028,9,26.00033535392471,-0.07544190653162783,27.985983332136534,0.0029857959724060106
2028-10-01,2028,10,55.94707765955686,-0.752304345390589,147.75188241990875,0.8764105271665155
2028-11-01,2028,11,77.33630029274798,-1.1568062946847322,181.59472452581056,0.3914781762109496
2028-12-01,2028,12,82.81082338303929,-1.36333662721539,194.66363021485398,0.05283858543230191
2029-01-01,2029,1,35.86611418226075,-1.621011615210929,65.0264961474773,-1.0584820066785599
2029-02-01,2029,2,12.014781049605622,-2.2318777492977353,30.103375144336177,-1.5643492214731722
2029-03-01,2029,3,48.80897492776495,-1.3855962580754317,70.6678896404834,-0.9295380515817913
2029-04-01,2029,4,58.94967817442411,-1.7535723167747155,74.98393514841655,-1.3283373595770454
2029-05-01,2029,5,71.20124867270663,-1.4198088051810638,85.41441776377798,-1.0393058578925907
2029-06-01,2029,6,26.601529255440276,-2.104641897006001,23.13974611996846,-2.308186877510703
2029-07-01,2029,7,13.831511585611574,-0.7919774143777215,10.622098045766151,-0.9953365025675862
2029-08-01,2029,8,11.212483674338912,0.2897488015759474,5.738650223806525,-0.25145811372269294
