period,ssp245_mean,ssp585_mean,diff_585_minus_245,noise_sd,distinguishable
2026-2045,-2.2770707038552187,-2.4467075173123143,-0.16963681345709558,0.8414572244610209,False
2046-2055,-2.100611432534058,-2.635358782918119,-0.5347473503840607,0.8358670680668898,False
2056-2065,-2.305865831833372,-2.3524552300893857,-0.046589398256013936,1.175142719634229,False
2066-2075,-2.389082198744359,-2.4129061234459805,-0.023823924701621646,1.1907599171901726,False
2076-2085,-2.0867453339012854,-2.265755945476153,-0.17901061157486753,0.800150242480162,False
2086-2095,-2.3956580526267004,-2.9512620090651427,-0.5556039564384423,0.7976396965530537,False
2096-2100,-2.716183434498917,-2.611112371820308,0.10507106267860866,0.6617128526278903,False
