year,rx1day_mm,heavy_days,sdii_mm_per_wet_day,wet_days,precip_total
2026,32.939786871435295,3,6.8377249269179625,84,574.3688938611089
2027,62.17019257061161,4,7.247070445548478,81,587.0127060894267
2028,21.887845777074805,1,6.05620068687535,69,417.87784739439917
2029,27.433525580925455,5,7.71217355926533,54,416.4573722003278
2030,35.46630065137528,5,7.970982142243688,72,573.9107142415455
2031,63.45776131208108,9,8.01668578939836,100,801.6685789398362
2032,38.793802881256575,3,7.3973632772262,46,340.2787107524052
2033,67.95996287468695,3,8.173056097223277,68,555.7678146111829
2034,67.61977934789466,2,6.263024562165754,76,475.9898667245973
2035,31.822196928669573,3,6.346341671679766,70,444.2439170175836
2036,55.754755354694325,7,7.439229195578331,93,691.8483151887848
2037,43.23459672176957,4,8.44026947106574,55,464.2148209086157
2038,37.12305950193277,4,6.857858310206251,69,473.19222340423136
2039,36.742300692702095,2,6.961891528484112,66,459.4848408799514
2040,83.12601454565677,7,8.06694485501068,108,871.2300443411535
2041,27.550796943835454,2,6.234033659541235,71,442.61638982742767
2042,29.319231971932297,2,5.998119185567015,74,443.8608197319591
2043,36.41952144018851,3,6.550588450378777,57,373.3835416715903
2044,41.47644518768044,1,5.704687101864588,73,416.4421584361149
2045,41.413518848630346,2,6.343807655008597,71,450.41034350561034
2046,25.721458000368628,2,6.0654463008342345,66,400.31945585505946
2047,46.9529848870997,3,7.810370997726849,94,734.1748737863238
2048,60.878295747792045,5,7.8036526428718735,78,608.6849061440062
2049,47.46479852457672,2,7.452299277345671,47,350.25806603524654
2050,21.792571810096614,1,5.568123240546164,75,417.6092430409623
2051,41.42155787413955,6,7.96932496838132,92,733.1778970910815
2052,33.78454801401497,4,6.653313047024805,102,678.6379307965301
2053,38.03700050111649,7,7.224595998812357,89,642.9890438942998
2054,50.36736340939199,3,7.434758687262285,82,609.6502123555074
2055,45.8794181715087,3,7.036108133518548,88,619.1775157496322
2056,43.690176019361886,4,7.176929948523165,52,373.20035732320457
2057,28.224781163430706,3,6.773143796752175,80,541.8515037401739
2058,59.60924905310739,5,7.976348723643559,64,510.4863183131878
2059,51.58238162188016,3,6.980922906631807,60,418.8553743979084
2060,65.92298938463325,6,8.52565208858971,76,647.949558732818
2061,18.724705042572417,0,5.510716022877693,66,363.70725750992773
2062,87.98131042233739,4,9.72866339310533,62,603.1771303725305
2063,60.97870339480325,5,7.004131115067403,66,462.27265359444857
2064,34.358415610654895,4,8.430130426448608,57,480.5174343075706
2065,44.049793931564516,5,7.570354110947718,76,575.3469124320266
2066,27.99704206621342,1,5.59936948711743,62,347.1609082012807
2067,47.92308514692621,6,7.738074198661168,86,665.4743810848604
2068,46.83743344464967,2,5.732836615114133,65,372.63437998241864
2069,33.369652130180164,2,6.956764215763461,50,347.83821078817306
2070,41.87287427823729,2,6.364817928404929,64,407.3483474179155
2071,43.30605027399427,5,7.9675097195146725,90,717.0758747563206
2072,40.85810530184987,6,7.793667983773965,80,623.4934387019172
2073,41.96384957543892,3,7.169666502532546,62,444.5193231570178
2074,45.62371499304588,3,6.944564054729893,68,472.23035572163275
2075,48.45589035972978,3,7.435497205725137,111,825.3401898354903
2076,42.637115546878505,4,7.435440338261636,61,453.56186063395984
2077,44.68373473545242,8,7.867865569794993,94,739.5793635607293
2078,101.36064599863543,12,9.128829558503519,109,995.0424218768836
2079,89.37599297614946,4,8.295059669525822,55,456.22828182392016
2080,26.097459935526377,4,6.875241252919254,81,556.8945414864596
2081,30.736171460594505,3,5.870086040211844,91,534.1778296592778
2082,28.112261946297743,2,6.305361986797634,63,397.237805168251
2083,48.11258657911679,3,6.560771750798877,131,859.4610993546529
2084,37.68797090940588,2,6.050007077138778,74,447.70052370826954
2085,22.457767098564226,2,5.334339718347102,60,320.06038310082613
2086,75.01359098352557,5,7.756344629152773,87,674.8019827362913
2087,35.783985551806715,3,6.264991557441693,79,494.93433303789374
2088,53.35217059044804,1,5.956279522582333,54,321.639094219446
2089,51.90621633509469,6,8.717119828911766,69,601.4812681949119
2090,53.46946490241166,4,8.45844535028961,63,532.8820570682454
2091,34.8652172478219,1,5.092632036830983,60,305.557922209859
2092,30.659804900166247,2,6.772516688446271,62,419.8960346836688
2093,18.546927593371137,0,6.001156838630494,58,348.06709664056865
2094,36.422075488364,2,6.184288782438789,74,457.6373699004704
2095,54.43021849542731,10,10.233940039169491,70,716.3758027418644
2096,28.73143504354684,1,6.745813374698769,59,398.0029891072274
2097,31.872093132633967,6,7.0866843319107575,79,559.8480622209498
2098,62.25003150014343,5,7.684681811566411,56,430.342181447719
2099,45.82754784893699,4,7.13489407992056,67,478.0379033546775
2100,25.29914774294406,1,7.140452476846328,55,392.724886226548
