year,days_fwi_gt30,fwi_mean,fwi_p95,fwi_max
2026,129,22.67,58.914,66.456
2027,167,26.753,51.08,57.896
2028,200,29.86,55.929,62.958
2029,159,26.57,55.061,60.652
2030,139,22.162,53.66,68.832
2031,112,18.516,51.797,59.094
2032,131,21.547,47.862,56.604
2033,143,21.997,54.422,63.193
2034,133,22.28,55.244,70.41
2035,160,23.953,51.984,64.016
2036,132,20.388,47.475,59.796
2037,135,20.755,47.801,56.02
2038,152,24.083,49.913,55.433
2039,113,21.413,51.603,60.843
2040,126,20.559,51.926,58.285
2041,196,30.431,55.697,66.443
2042,187,27.866,50.378,62.304
2043,139,24.417,52.084,61.915
2044,154,24.154,54.724,72.192
2045,150,21.907,52.976,61.286
2046,122,21.898,57.566,64.597
2047,118,21.258,51.8,59.54
2048,141,20.4,51.57,56.481
2049,113,20.207,54.612,66.235
2050,168,25.969,49.902,64.79
2051,124,18.34,48.428,57.105
2052,173,27.632,57.026,65.071
2053,175,29.098,54.916,62.52
2054,176,29.614,55.679,74.956
2055,180,29.086,55.438,70.174
2056,184,26.825,55.211,70.066
2057,144,24.33,55.212,67.305
2058,157,22.67,53.979,60.862
2059,175,27.185,52.63,64.563
2060,218,29.937,54.975,63.312
2061,163,25.409,49.41,59.196
2062,146,22.737,49.951,56.759
2063,174,25.487,51.007,62.389
2064,184,27.397,52.387,59.685
2065,134,22.573,55.313,69.601
2066,130,23.326,53.295,60.789
2067,154,27.216,58.458,71.476
2068,194,29.746,58.92,68.468
2069,158,24.167,55.067,72.023
2070,138,23.159,50.703,58.446
2071,120,20.127,51.117,61.301
2072,201,29.718,55.061,65.557
2073,223,31.652,57.909,71.2
2074,163,26.668,56.536,67.144
2075,170,25.562,54.36,65.777
2076,182,27.714,55.673,63.775
2077,161,25.835,54.546,69.306
2078,179,29.355,54.188,67.793
2079,145,23.086,51.329,59.55
2080,136,24.295,52.702,66.812
2081,163,27.885,57.309,64.616
2082,168,27.68,55.322,69.835
2083,155,27.931,61.841,73.047
2084,183,29.87,57.009,65.325
2085,254,37.035,61.131,80.038
2086,163,28.33,58.413,66.076
2087,174,29.711,55.123,70.14
2088,194,32.167,59.14,71.736
2089,195,32.155,58.117,70.301
2090,196,31.411,56.006,74.465
2091,194,30.146,56.426,67.315
2092,134,23.881,54.999,61.804
2093,181,31.326,59.342,66.792
2094,235,35.668,57.208,73.436
2095,201,30.363,53.862,63.631
2096,150,24.189,53.368,65.763
2097,214,31.535,58.421,66.039
2098,160,27.684,58.808,67.04
2099,146,23.859,52.755,67.886
2100,220,32.488,59.16,65.162
