year,min_spi3
2026,-1.8683770783202087
2027,-2.201605275763995
2028,-0.8884710475406924
2029,-3.1088235699282105
2030,-2.4446618831805185
2031,-2.2601225529994347
2032,-1.5312264344664155
2033,-2.086785984178259
2034,-2.9973240397764567
2035,-2.538612539665409
2036,-2.2823466073546417
2037,-3.6259607594370507
2038,-2.4457405558307044
2039,-2.6142262488046755
2040,-1.2492178243007577
2041,-3.9384806956001284
2042,-2.610416165980102
2043,-2.0802065918457813
2044,-4.402067715923932
2045,-1.759476775348909
2046,-2.558510800271945
2047,-1.5576576541081006
2048,-2.148162859009284
2049,-3.9424598992530018
2050,-2.575015295930065
2051,-2.1167990060135717
2052,-2.856191557053649
2053,-2.5791081707872405
2054,-2.526311099662535
2055,-3.4933714870917933
2056,-2.4273882784134213
2057,-1.0234913169554742
2058,-2.5129102553465326
2059,-3.087853756382634
2060,-2.1498860604822685
2061,-1.4464664694386693
2062,-2.321133656400434
2063,-4.530251324465935
2064,-3.650291646545623
2065,-0.374879536462862
2066,-2.232635643519217
2067,-1.0160560811479797
2068,-3.04048114145475
2069,-2.3852101893937157
2070,-3.3803602373158177
2071,-1.8954343875656983
2072,-3.0495343567684796
2073,-1.5568174733166233
2074,-3.6370266743804973
2075,-1.935505049597025
2076,-2.0208625978184966
2077,-3.117446562137409
2078,-1.4778207786124136
2079,-1.5103069355853402
2080,-1.9290339115083994
2081,-2.2675326233048327
2082,-2.069777720943992
2083,-3.062007100893932
2084,-2.8675681709216296
2085,-2.3352030530350825
2086,-1.798165182061286
2087,-2.643987716573056
2088,-4.267158370060333
2089,-3.5484364920978404
2090,-2.4729494320274705
2091,-2.4895075093623618
2092,-1.95666425928048
2093,-3.222271279088264
2094,-3.9708895732860214
2095,-3.142590276814313
2096,-3.2421435567387866
2097,-2.8103223583581824
2098,-2.1187642572672867
2099,-2.9942517475010186
2100,-1.890079939236268
