year,min_spi3
2026,-2.1037240971941125
2027,-2.545524039464269
2028,-3.367745707689648
2029,-2.8163546067737952
2030,-1.1930263312622325
2031,-1.0248702562434706
2032,-1.7444346917669287
2033,-2.3793183774339837
2034,-2.710295093968328
2035,-2.3866019085508947
2036,-1.5876384829374832
2037,-0.9362061575156366
2038,-3.1674997078579583
2039,-1.6304511769029502
2040,-1.9924937189779834
2041,-4.216164124825082
2042,-2.9673918097451795
2043,-2.8373318865991015
2044,-2.217078343850268
2045,-1.9082962810858048
2046,-4.066700854231768
2047,-2.0549498165815026
2048,-1.141805673275823
2049,-1.61299742509171
2050,-2.9090169999834865
2051,-1.5617355894980804
2052,-4.377131868932287
2053,-2.149209044464305
2054,-2.223904031286478
2055,-3.2658230791452536
2056,-3.4292926080039354
2057,-2.1808468461564154
2058,-3.5457858632558983
2059,-3.120841405989525
2060,-4.753424308822899
2061,-1.4942785785822847
2062,-2.360547131128747
2063,-4.369838755855448
2064,-2.2556209663621223
2065,-2.5017862605284216
2066,-1.1555892062571922
2067,-2.861660242696433
2068,-2.9112085324231054
2069,-3.480374939089312
2070,-3.1708450119981815
2071,-3.279246943209404
2072,-4.753424308822899
2073,-4.753424308822899
2074,-2.382866933170876
2075,-2.2998381029279833
2076,-2.8259481536377957
2077,-3.5322380821680506
2078,-2.9192851311620776
2079,-1.3353883168425482
2080,-3.7036794320689364
2081,-2.015788742360411
2082,-2.184582509640387
2083,-2.467800097648593
2084,-3.901278381858291
2085,-4.753424308822899
2086,-2.9652998036205305
2087,-2.227811631633748
2088,-3.3586364657795467
2089,-2.5319325268136184
2090,-2.9743205478137162
2091,-2.999939825000799
2092,-2.988907048557084
2093,-2.5821536733147257
2094,-3.751417418983531
2095,-4.653675437966882
2096,-1.3349726799974624
2097,-3.441507298609248
2098,-2.2038697840175754
2099,-2.9260304305743334
2100,-4.108978489108381
