period,ssp245_mean,ssp585_mean,diff_585_minus_245,noise_sd,distinguishable
2026-2045,44.08556980025169,37.4035621672305,-6.682007633021193,17.33089616497384,False
2046-2055,41.229999694010544,44.02992104198134,2.7999213479707947,18.959911605506182,False
2056-2065,49.51225056443459,51.94413541372408,2.4318848492894887,29.78310665327738,False
2066-2075,41.820769757026554,43.29918226964928,1.4784125126227252,9.782984635207582,False
2076-2085,47.12617071866213,50.30422073849363,3.1780500198315025,23.709599539421834,False
2086-2095,44.44496720884373,40.499949097149965,-3.945018111693763,16.01123781513082,False
2096-2100,38.79605105364105,50.02409317634234,11.22804212270129,17.775543314121983,False
