period,ssp245_mean,ssp585_mean,diff_585_minus_245,noise_sd,distinguishable
2026-2045,513.7129959863926,457.2028152639543,-56.51018072243829,147.2164866636888,False
2046-2055,579.467914474865,462.33717128117786,-117.13074319368712,115.74854834642728,True
2056-2065,497.7364500723796,508.981784637281,11.245334564901384,142.14755287641665,False
2066-2075,522.3115409647028,474.14013721617005,-48.171403748532725,142.388440285067,False
2076-2085,575.994411037323,526.3944977661912,-49.599913271131754,179.05183093313707,False
2086-2095,487.3272961433219,364.157971139757,-123.1693250035649,118.42138874084877,True
2096-2100,451.7912044714243,502.58496227874474,50.793757807320446,87.6040686675259,False
