period,ssp245_mean,ssp585_mean,diff_585_minus_245,noise_sd,distinguishable
2026-2045,467.857999390664,453.71226733784454,-14.145732052819483,207.6079028525342,False
2046-2055,521.8415439361576,415.0042208419084,-106.83732309424914,146.29004282988865,False
2056-2065,483.7561291772348,394.6697184447138,-89.08641073252102,141.88602195809415,False
2066-2075,440.0065092950099,464.4304301213835,24.423920826373603,202.28341619459917,False
2076-2085,508.3243222670086,337.4692332859822,-170.85508898102637,136.2861928109524,True
2086-2095,365.6105584952165,265.3652903588744,-100.24526813634208,139.81732677140442,False
2096-2100,450.1196601329033,394.63143358888453,-55.488226544018744,171.38956908524708,False
