period,ssp245_mean,ssp585_mean,diff_585_minus_245,noise_sd,distinguishable
2026-2045,140.15,147.85,7.699999999999989,25.526611501271415,False
2046-2055,129.0,149.0,20.0,26.373387259803312,False
2056-2065,140.9,167.9,27.0,19.632456120754053,True
2066-2075,148.0,165.1,17.099999999999994,30.536772004330196,False
2076-2085,145.7,172.6,26.900000000000006,26.827121434183812,True
2086-2095,166.3,186.7,20.399999999999977,23.814328086725904,False
2096-2100,165.6,178.0,12.400000000000006,29.51948509036023,False
