valid_time,latitude,longitude,tp,t2m,u10,v10,d2m
1990-01-04 06:00:00,37.5,-5.75,0.0,277.3386,2.3675537,-1.2908325,275.9828
1990-01-04 12:00:00,37.25,-6.0,0.0,285.1882,0.35095215,-1.3088684,280.59756
1990-01-04 12:00:00,37.25,-5.75,0.0,284.77414,0.5159912,-1.3596497,280.45303
1990-01-04 12:00:00,37.5,-6.0,0.0,285.34445,0.16442871,-1.7795715,280.50577
1990-01-04 12:00:00,37.5,-5.75,0.0,284.9929,0.44958496,-1.9778137,280.29678
1990-01-04 18:00:00,37.25,-6.0,0.0,283.77136,2.204071,-0.06745911,280.75348
1990-01-04 18:00:00,37.25,-5.75,0.0,285.37878,1.7099304,0.55851746,280.66754
1990-01-04 18:00:00,37.5,-6.0,0.0,283.46472,1.9364929,-1.0010529,279.91754
1990-01-04 18:00:00,37.5,-5.75,0.0,284.41003,1.8183289,-0.7627716,279.77692
1990-01-05 00:00:00,37.25,-6.0,0.0,280.21002,0.25924683,-2.0217285,278.84003
1990-01-05 00:00:00,37.25,-5.75,0.0,282.00494,-0.14993286,-1.6213379,279.51776
1990-01-05 00:00:00,37.5,-6.0,0.0,279.5108,0.15377808,-1.4641113,278.46112
1990-01-05 00:00:00,37.5,-5.75,0.0,278.74908,0.03366089,-1.9963379,277.74628
1990-01-05 06:00:00,37.25,-6.0,0.0,279.50415,-0.7545166,-1.1738586,278.55136
1990-01-05 06:00:00,37.25,-5.75,0.0,278.32837,-1.2271729,-0.9482727,277.65488
1990-01-05 06:00:00,37.5,-6.0,0.0,278.98462,-0.6168213,-1.2949524,277.942
1990-01-05 06:00:00,37.5,-5.75,0.0,278.30103,-1.0308838,-1.4853821,277.16464
1990-01-05 12:00:00,37.25,-6.0,0.0,285.2473,-1.6535645,-1.7605133,280.60248
1990-01-05 12:00:00,37.25,-5.75,0.0,285.4641,-1.5305176,-1.857193,280.71576
1990-01-05 12:00:00,37.5,-6.0,0.0,285.11255,-1.8098145,-1.0388336,280.11615
1990-01-05 12:00:00,37.5,-5.75,0.0,284.92114,-1.9719238,-1.2751617,280.31342
1990-01-05 18:00:00,37.25,-6.0,0.0,284.52176,0.2532196,-2.4334106,282.0895
1990-01-05 18:00:00,37.25,-5.75,0.0,284.637,0.2297821,-2.073059,282.31998
1990-01-05 18:00:00,37.5,-6.0,0.0,285.57645,-0.40498352,-1.2293091,281.6696
1990-01-05 18:00:00,37.5,-5.75,0.0,284.27176,-0.7780304,-2.0427856,282.03287
1990-01-06 00:00:00,37.25,-6.0,0.0,280.74017,-2.0141144,-0.94454956,279.63058
1990-01-06 00:00:00,37.25,-5.75,0.0,280.84174,-1.8529816,0.103302,279.96262
1990-01-06 00:00:00,37.5,-6.0,0.0,280.55072,-0.99458313,-1.4914246,278.93137
1990-01-06 00:00:00,37.5,-5.75,0.0,280.81635,-1.36763,-0.85861206,279.40988
1990-01-06 06:00:00,37.25,-6.0,0.0,280.51636,-1.2125397,-1.7660065,279.7162
1990-01-06 06:00:00,37.25,-5.75,0.0,281.1765,-1.67836,-1.3031158,280.3197
1990-01-06 06:00:00,37.5,-6.0,0.0,280.57886,-0.7301178,-1.8099518,279.3861
1990-01-06 06:00:00,37.5,-5.75,0.0,280.8933,-1.5601959,-1.7708893,279.98572
1990-01-06 12:00:00,37.25,-6.0,0.0,287.5014,-1.2040558,-0.9434509,283.57886
1990-01-06 12:00:00,37.25,-5.75,0.0,287.98578,-0.84565735,-0.6651306,283.65308
1990-01-06 12:00:00,37.5,-6.0,0.0,287.18304,-2.0038605,-0.33309937,283.32104
1990-01-06 12:00:00,37.5,-5.75,0.0,287.2475,-2.1581573,-0.033294678,283.27417
1990-01-06 18:00:00,37.25,-6.0,0.0,285.90033,0.3567047,-1.6889496,283.65228
1990-01-06 18:00:00,37.25,-5.75,0.0,286.3593,0.30299377,-1.9174652,283.62885
1990-01-06 18:00:00,37.5,-6.0,0.0,287.05853,-0.17259216,-1.6957855,283.12494
1990-01-06 18:00:00,37.5,-5.75,0.0,285.39252,-0.5827484,-1.9887543,282.8769
1990-01-07 00:00:00,37.25,-6.0,0.0,282.71405,-0.06752014,-1.7721252,281.5683
1990-01-07 00:00:00,37.25,-5.75,0.0,282.88397,-1.0089264,-0.48599243,281.68158
1990-01-07 00:00:00,37.5,-6.0,0.0,282.41132,-0.08509827,-1.1451721,281.3886
1990-01-07 00:00:00,37.5,-5.75,0.0,282.2492,-0.5558014,-1.1246643,281.0683
1990-01-07 06:00:00,37.25,-6.0,0.0,280.99615,-0.5214691,-0.8594971,280.70844
1990-01-07 06:00:00,37.25,-5.75,0.0,281.2657,-0.8867035,-0.30773926,280.89594
1990-01-07 06:00:00,37.5,-6.0,0.0,280.66998,-0.22850037,-1.1671143,279.83344
1990-01-07 06:00:00,37.5,-5.75,0.0,281.46686,-0.6962738,-0.95422363,280.3979
1990-01-07 12:00:00,37.25,-6.0,0.0,287.34473,-0.33439636,-0.5502014,283.56125
1990-01-07 12:00:00,37.25,-5.75,0.0,287.66113,-0.25431824,-0.644928,283.55344
1990-01-07 12:00:00,37.5,-6.0,0.0,287.66895,-0.39787292,-0.3734436,283.3796
1990-01-07 12:00:00,37.5,-5.75,0.0,287.4619,-0.22990417,-0.57266235,283.30734
1990-01-07 18:00:00,37.25,-6.0,0.0,288.5598,1.1444397,0.21040344,284.06195
1990-01-07 18:00:00,37.25,-5.75,0.0,288.2766,0.87490845,-0.272995,283.93695
1990-01-07 18:00:00,37.5,-6.0,0.0,288.3274,1.6698303,0.24263,283.83344
1990-01-07 18:00:00,37.5,-5.75,0.0,287.88013,1.3075256,0.30415344,283.85297
1990-01-08 00:00:00,37.25,-6.0,0.0,283.92224,-1.4211884,-2.8297882,280.81165
1990-01-08 00:00:00,37.25,-5.75,0.0,283.75037,-1.5998993,-2.1588898,281.5382
1990-01-08 00:00:00,37.5,-6.0,0.0,283.65076,-1.3987274,-2.9762726,278.94836
1990-01-08 00:00:00,37.5,-5.75,0.0,283.7484,-1.3821259,-2.7760773,279.66516
1990-01-08 06:00:00,37.25,-6.0,0.0,281.55945,-2.3497162,-2.8510437,278.55957
1990-01-08 06:00:00,37.25,-5.75,0.0,281.1493,-2.4297943,-2.5658875,278.99512
1990-01-08 06:00:00,37.5,-6.0,0.0,281.92273,-2.2774506,-2.995575,276.93262
1990-01-08 06:00:00,37.5,-5.75,0.0,281.62585,-2.588974,-3.174286,277.05566
1990-01-08 12:00:00,37.25,-6.0,0.0,286.38403,-4.5003815,-3.3374481,278.52414
1990-01-08 12:00:00,37.25,-5.75,0.0,286.3274,-4.2298737,-2.9995575,279.00266
1990-01-08 12:00:00,37.5,-6.0,0.0,286.40356,-4.5746,-3.1118622,277.79758
1990-01-08 12:00:00,37.5,-5.75,0.0,286.14185,-4.8929596,-3.1372528,277.7839
1990-01-08 18:00:00,37.25,-6.0,0.0,286.45844,-2.800003,-3.123932,278.90024
1990-01-08 18:00:00,37.25,-5.75,0.0,286.5385,-2.659378,-2.9579163,279.41977
1990-01-08 18:00:00,37.5,-6.0,0.0,285.55414,-2.7853546,-2.5624084,278.2186
1990-01-08 18:00:00,37.5,-5.75,0.0,285.5053,-3.136917,-2.592682,278.2108
1990-01-09 00:00:00,37.25,-6.0,0.0,283.5163,-2.604477,-2.2255554,277.99023
1990-01-09 00:00:00,37.25,-5.75,0.0,283.1042,-2.5302582,-1.7245789,278.61523
1990-01-09 00:00:00,37.5,-6.0,0.0,283.93817,-3.403305,-2.3720398,277.13477
1990-01-09 00:00:00,37.5,-5.75,0.0,283.57294,-3.7431488,-2.422821,276.98047
1990-01-09 06:00:00,37.25,-6.0,0.0,280.85587,-2.8739014,-2.5554657,277.45508
1990-01-09 06:00:00,37.25,-5.75,0.0,280.5668,-2.9891357,-2.2351532,277.82617
1990-01-09 06:00:00,37.5,-6.0,0.0,281.2543,-2.8885498,-2.5857391,276.35352
1990-01-09 06:00:00,37.5,-5.75,0.0,280.8168,-3.2801514,-2.7615204,276.20312
1990-01-09 12:00:00,37.25,-6.0,0.0,286.4488,-3.391983,-2.7247467,279.37146
1990-01-09 12:00:00,37.25,-5.75,0.0,286.50153,-3.0091705,-2.6534576,279.432
1990-01-09 12:00:00,37.5,-6.0,0.0,286.31403,-3.7406158,-2.1671295,278.91248
1990-01-09 12:00:00,37.5,-5.75,0.0,286.0406,-3.9261627,-2.2921295,278.891
1990-01-09 18:00:00,37.25,-6.0,0.0,285.94995,-1.5525055,-2.7297058,279.8944
1990-01-09 18:00:00,37.25,-5.75,0.0,285.82104,-1.4294586,-2.575409,280.23425
1990-01-09 18:00:00,37.5,-6.0,0.0,284.75073,-1.5593414,-1.8849792,279.17957
1990-01-09 18:00:00,37.5,-5.75,0.0,285.12378,-1.8943024,-2.2013855,278.90613
1990-01-10 00:00:00,37.25,-6.0,0.0,281.19843,-1.2209625,-1.8481903,277.69675
1990-01-10 00:00:00,37.25,-5.75,0.0,280.64374,-1.478775,-1.2798309,278.0483
1990-01-10 00:00:00,37.5,-6.0,0.0,280.70428,-0.8127594,-2.0278778,276.6108
1990-01-10 00:00:00,37.5,-5.75,0.0,280.66913,-1.0979156,-2.0903778,276.56198
1990-01-10 06:00:00,37.25,-6.0,0.0,278.736,-1.2913666,-2.1228485,276.45874
1990-01-10 06:00:00,37.25,-5.75,0.0,278.3571,-1.618515,-1.7439423,276.80444
1990-01-10 06:00:00,37.5,-6.0,0.0,278.19693,-0.88609314,-2.0798798,275.49194
1990-01-10 06:00:00,37.5,-5.75,0.0,278.1696,-1.3235931,-2.2839813,275.16577
1990-01-10 12:00:00,37.25,-6.0,0.0,285.6758,-2.54245,-2.4110718,279.18097
1990-01-10 12:00:00,37.25,-5.75,0.0,285.72464,-2.308075,-2.423767,279.80792
1990-01-10 12:00:00,37.5,-6.0,0.0,285.58987,-2.908661,-1.9384155,277.74152
1990-01-10 12:00:00,37.5,-5.75,0.0,285.2012,-3.0531921,-2.1591187,277.71808
1990-01-10 18:00:00,37.25,-6.0,0.0,283.73587,-0.9803009,-1.8744965,278.14764
1990-01-10 18:00:00,37.25,-5.75,0.0,283.64017,-1.076004,-1.772934,278.10858
1990-01-10 18:00:00,37.5,-6.0,0.0,283.14212,-1.1746368,-2.2387543,278.04022
1990-01-10 18:00:00,37.5,-5.75,0.0,283.2847,-1.2410431,-1.6235199,278.03436
1990-01-11 00:00:00,37.25,-6.0,0.0,281.63318,-1.1309662,-3.236847,276.4491
1990-01-11 00:00:00,37.25,-5.75,0.0,281.1703,-1.4922943,-2.7329407,276.49988
1990-01-11 00:00:00,37.5,-6.0,0.0,282.01404,-1.1465912,-3.346222,275.84753
1990-01-11 00:00:00,37.5,-5.75,0.0,281.78162,-1.5821381,-3.3452454,275.9823
1990-01-11 06:00:00,37.25,-6.0,0.0,278.91202,-2.279358,-3.0344238,275.4323
1990-01-11 06:00:00,37.25,-5.75,0.0,278.4042,-2.4483032,-2.6174316,275.6042
1990-01-11 06:00:00,37.5,-6.0,0.0,279.36905,-2.5215454,-2.965088,275.33856
1990-01-11 06:00:00,37.5,-5.75,0.0,279.04092,-2.921936,-3.027588,275.31317
1990-01-11 12:00:00,37.25,-6.0,0.0,284.96973,-2.8986816,-2.3210144,277.9199
1990-01-11 12:00:00,37.25,-5.75,0.0,284.95605,-2.6623535,-2.3268738,277.90622
1990-01-11 12:00:00,37.5,-6.0,0.0,285.1162,-3.324463,-1.8630066,277.62888
1990-01-11 12:00:00,37.5,-5.75,0.0,284.95996,-3.5080566,-2.1139832,277.76364
1990-01-11 18:00:00,37.25,-6.0,0.0,283.9866,-0.90449524,-2.2113342,279.40085
1990-01-11 18:00:00,37.25,-5.75,0.0,284.27176,-0.713089,-2.1078186,279.39304
1990-01-11 18:00:00,37.5,-6.0,0.0,282.92606,-1.7853546,-1.3734436,279.1782
1990-01-11 18:00:00,37.5,-5.75,0.0,283.803,-1.7834015,-1.8685608,279.311
1990-01-12 00:00:00,37.25,-6.0,0.0,278.81543,-1.2758331,-1.5895691,277.0162
1990-01-12 00:00:00,37.25,-5.75,0.0,278.542,-1.7484894,-1.0260925,276.96933
1990-01-12 00:00:00,37.5,-6.0,0.0,279.16895,-0.9281769,-1.7018738,277.0377
1990-01-12 00:00:00,37.5,-5.75,0.0,279.74707,-1.5736847,-1.8200378,277.07675
1990-01-12 06:00:00,37.25,-6.0,0.0,277.57196,-1.2320709,-1.5721893,275.86646
1990-01-12 06:00:00,37.25,-5.75,0.0,277.16962,-1.4889069,-1.0702362,275.91138
1990-01-12 06:00:00,37.5,-6.0,0.0,278.07,-1.296524,-1.8397675,275.886
1990-01-12 06:00:00,37.5,-5.75,0.0,278.06805,-1.8853912,-1.9442596,275.97192
1990-01-12 12:00:00,37.25,-6.0,0.0,285.76617,-1.5209961,-1.5555725,280.54892
1990-01-12 12:00:00,37.25,-5.75,0.0,285.92438,-1.2416992,-1.4510803,280.8204
