valid_time,latitude,longitude,tp,t2m,u10,v10,d2m,number,expver,t2m_celsius,d2m_celsius
1990-01-03 06:00:00,39.5,22.5,2.193451e-05,279.51605,0.70184326,0.27876282,276.57776,0,0001,6.3660583,3.427765
1990-01-03 12:00:00,39.75,22.25,5.054474e-05,278.51166,0.02116394,-0.36540222,273.87762,0,0001,5.361664,0.7276306
1990-01-03 12:00:00,39.75,22.5,9.918213e-05,278.6601,-0.81477356,-1.3780975,274.17645,0,0001,5.5101013,1.0264587
1990-01-03 12:00:00,39.5,22.25,3.0517578e-05,280.2968,-0.15071106,-1.2257538,274.59637,0,0001,7.14682,1.4463806
1990-01-03 12:00:00,39.5,22.5,9.4890594e-05,279.39642,-0.37043762,-1.3029022,274.50262,0,0001,6.2464294,1.3526306
1990-01-03 18:00:00,39.75,22.25,7.1525574e-06,277.92212,-0.17388916,-0.3105011,275.02097,0,0001,4.7721252,1.8709717
1990-01-03 18:00:00,39.75,22.5,2.3841858e-06,277.55493,-0.6123657,-1.1249542,274.04245,0,0001,4.4049377,0.89245605
1990-01-03 18:00:00,39.5,22.25,4.7683716e-07,279.7893,-0.70318604,-0.91596985,275.3276,0,0001,6.6393127,2.1776123
1990-01-03 18:00:00,39.5,22.5,0.0,278.5393,-1.4863892,-1.1708527,274.10495,0,0001,5.3893127,0.95495605
1990-01-04 00:00:00,39.75,22.25,9.536743e-06,273.55566,0.3199005,-1.417038,271.32483,0,0001,0.40567017,-1.8251648
1990-01-04 00:00:00,39.75,22.5,9.536743e-07,274.62207,-0.4300995,-1.6084442,271.1432,0,0001,1.4720764,-2.0068054
1990-01-04 00:00:00,39.5,22.25,1.6212463e-05,276.75098,-0.029708862,-1.4277802,272.8092,0,0001,3.6009827,-0.3407898
1990-01-04 00:00:00,39.5,22.5,9.536743e-07,276.3662,-0.65763855,-1.3936005,270.29358,0,0001,3.216217,-2.8564148
1990-01-04 06:00:00,39.75,22.25,0.0,272.70773,0.33239746,-1.8464966,267.62537,0,0001,-0.44226074,-5.5246277
1990-01-04 06:00:00,39.75,22.5,0.0,273.86398,-0.14416504,-1.65802,269.15076,0,0001,0.71398926,-3.999237
1990-01-04 06:00:00,39.5,22.25,9.536743e-07,274.23898,1.1536865,-0.7498169,269.4281,0,0001,1.0889893,-3.7218933
1990-01-04 06:00:00,39.5,22.5,1.9073486e-06,273.2722,1.3988037,0.07244873,269.87537,0,0001,0.12219238,-3.2746277
1990-01-04 12:00:00,39.75,22.25,3.33786e-06,277.52805,-0.82873535,-0.73269653,266.9179,0,0001,4.3780518,-6.232086
1990-01-04 12:00:00,39.75,22.5,5.2452087e-06,277.54562,-1.697876,-2.3137512,267.9101,0,0001,4.39563,-5.2398987
1990-01-04 12:00:00,39.5,22.25,1.335144e-05,279.09836,-1.2271729,-1.7258606,268.0468,0,0001,5.9483643,-5.10318
1990-01-04 12:00:00,39.5,22.5,4.339218e-05,277.61398,-1.7613525,-2.0022278,269.34955,0,0001,4.4639893,-3.8004456
1990-01-04 18:00:00,39.75,22.25,4.7683716e-06,274.83972,-0.4170227,0.1327362,268.20856,0,0001,1.6897278,-4.941437
1990-01-04 18:00:00,39.75,22.5,1.6212463e-05,274.10144,-1.1875305,-1.0352325,269.89215,0,0001,0.95144653,-3.257843
1990-01-04 18:00:00,39.5,22.25,6.67572e-06,275.7401,-0.74612427,-0.45515442,270.93512,0,0001,2.5901184,-2.2148743
1990-01-04 18:00:00,39.5,22.5,1.9073486e-05,274.46277,-0.945343,-0.34773254,271.66364,0,0001,1.3127747,-1.4863586
1990-01-05 00:00:00,39.75,22.25,0.00018882751,271.5987,-0.5864563,-1.2189941,268.3205,0,0001,-1.5513,-4.8294983
1990-01-05 00:00:00,39.75,22.5,0.00057315826,272.95416,-2.122589,-0.9904785,269.81464,0,0001,-0.1958313,-3.3353577
1990-01-05 00:00:00,39.5,22.25,0.00015068054,273.99908,-0.886261,-1.3371582,270.02557,0,0001,0.8490906,-3.1244202
1990-01-05 00:00:00,39.5,22.5,0.00031518936,273.06158,-1.5405579,-0.6965332,270.43964,0,0001,-0.088409424,-2.7103577
1990-01-05 06:00:00,39.75,22.25,0.00022029877,273.4807,-1.4156494,-0.41604614,269.54938,0,0001,0.330719,-3.6006165
1990-01-05 06:00:00,39.75,22.5,7.581711e-05,274.46704,-3.1051025,-0.72073364,269.14508,0,0001,1.3170471,-4.0049133
1990-01-05 06:00:00,39.5,22.25,5.531311e-05,275.23462,-1.0933838,-0.5576477,271.1197,0,0001,2.0846252,-2.030304
1990-01-05 06:00:00,39.5,22.5,1.4305115e-05,274.5276,-1.9674072,-0.2998352,268.3814,0,0001,1.377594,-4.768585
1990-01-05 12:00:00,39.75,22.25,2.193451e-05,274.54028,-3.154541,0.5392914,267.31735,0,0001,1.3902893,-5.8326416
1990-01-05 12:00:00,39.75,22.5,2.0980835e-05,274.78052,-4.2805176,-0.7683258,267.1904,0,0001,1.6305237,-5.9595947
1990-01-05 12:00:00,39.5,22.25,6.67572e-06,276.87622,-4.000244,-0.50367737,266.99704,0,0001,3.7262268,-6.152954
1990-01-05 12:00:00,39.5,22.5,4.7683716e-06,275.6399,-4.22876,-0.8679352,266.29196,0,0001,2.4898987,-6.858032
1990-01-05 18:00:00,39.75,22.25,3.8146973e-06,271.5823,-0.4655304,0.15740967,267.01334,0,0001,-1.567688,-6.1366577
1990-01-05 18:00:00,39.75,22.5,3.33786e-06,272.54324,-1.8014679,-0.7576294,266.53873,0,0001,-0.6067505,-6.611267
1990-01-05 18:00:00,39.5,22.25,2.861023e-06,273.31668,-0.47920227,-0.8670044,266.84732,0,0001,0.16668701,-6.3026733
1990-01-05 18:00:00,39.5,22.5,2.861023e-06,272.68777,-1.0153351,-0.9158325,266.92935,0,0001,-0.46221924,-6.220642
1990-01-06 00:00:00,39.75,22.25,4.2915344e-06,271.8535,0.32084656,-0.48458862,267.67355,0,0001,-1.2965088,-5.4764404
1990-01-06 00:00:00,39.75,22.5,4.7683716e-06,273.4785,-0.8031769,-1.0314636,267.363,0,0001,0.3284912,-5.7869873
1990-01-06 00:00:00,39.5,22.25,4.7683716e-06,273.10544,1.2212372,-0.91134644,267.47043,0,0001,-0.044555664,-5.6795654
1990-01-06 00:00:00,39.5,22.5,8.583069e-06,273.18747,0.7202606,-0.37911987,267.8962,0,0001,0.037475586,-5.253784
1990-01-06 06:00:00,39.75,22.25,4.2915344e-06,272.29175,0.3118744,-0.48768616,267.3861,0,0001,-0.85824585,-5.7638855
1990-01-06 06:00:00,39.75,22.5,8.106232e-06,273.4402,-0.44300842,-1.032608,267.80408,0,0001,0.29019165,-5.3459167
1990-01-06 06:00:00,39.5,22.25,4.2915344e-06,273.50073,1.0169525,-0.42811584,267.3158,0,0001,0.35073853,-5.834198
1990-01-06 06:00:00,39.5,22.5,1.04904175e-05,273.20386,0.6898041,0.0074310303,267.61853,0,0001,0.053863525,-5.5314636
1990-01-06 12:00:00,39.75,22.25,3.33786e-06,275.0678,-0.730423,-0.63974,268.5359,0,0001,1.9178162,-4.614105
1990-01-06 12:00:00,39.75,22.5,7.6293945e-06,275.2143,-1.4013214,-1.9385681,269.364,0,0001,2.0643005,-3.7859802
1990-01-06 12:00:00,39.5,22.25,2.6226044e-05,276.76898,-0.7138214,-1.2998962,269.30347,0,0001,3.618988,-3.846527
1990-01-06 12:00:00,39.5,22.5,3.6239624e-05,275.6889,-1.1190948,-1.5411072,269.69214,0,0001,2.53891,-3.4578552
1990-01-06 18:00:00,39.75,22.25,0.0,272.164,0.8147125,-0.17527771,267.7265,0,0001,-0.98599243,-5.4234924
1990-01-06 18:00:00,39.75,22.5,0.0,271.8515,0.36647034,-0.9203949,268.09174,0,0001,-1.2984924,-5.058258
1990-01-06 18:00:00,39.5,22.25,4.7683716e-07,273.44916,1.0686188,-0.70262146,268.64252,0,0001,0.29916382,-4.507477
1990-01-06 18:00:00,39.5,22.5,9.536743e-07,272.60345,1.0217438,-0.2924652,268.62103,0,0001,-0.5465393,-4.528961
1990-01-07 00:00:00,39.75,22.25,0.0,269.5383,0.48912048,-1.0914612,266.58395,0,0001,-3.6116943,-6.56604
1990-01-07 00:00:00,39.75,22.5,4.7683716e-07,271.11838,0.8983002,-1.4967346,267.4824,0,0001,-2.0316162,-5.6676025
1990-01-07 00:00:00,39.5,22.25,0.0,271.23557,1.2205658,-0.5436096,267.68356,0,0001,-1.9144287,-5.4664307
1990-01-07 00:00:00,39.5,22.5,0.0,271.23947,1.2527924,0.15560913,267.64645,0,0001,-1.9105225,-5.50354
1990-01-07 06:00:00,39.75,22.25,0.0,269.07623,0.27931213,-1.1925049,262.4702,0,0001,-4.073761,-10.679779
1990-01-07 06:00:00,39.75,22.5,0.0,269.9864,0.99024963,-0.60754395,265.00537,0,0001,-3.1636047,-8.144623
1990-01-07 06:00:00,39.5,22.25,0.0,271.44537,0.90431213,0.3494873,265.92725,0,0001,-1.7046204,-7.222748
1990-01-07 06:00:00,39.5,22.5,0.0,270.03912,0.66407776,0.711792,266.77686,0,0001,-3.1108704,-6.3731384
1990-01-07 12:00:00,39.75,22.25,0.0,276.36035,0.35993958,0.20663452,265.23315,0,0001,3.2103577,-7.9168396
1990-01-07 12:00:00,39.75,22.5,0.0,276.9131,-0.0043182373,-0.15274048,268.10425,0,0001,3.763092,-5.045746
1990-01-07 12:00:00,39.5,22.25,0.0,277.6494,0.7788849,-0.1703186,268.0066,0,0001,4.49942,-5.143402
1990-01-07 12:00:00,39.5,22.5,0.0,276.9795,0.63435364,0.12753296,268.77808,0,0001,3.8294983,-4.3719177
1990-01-07 18:00:00,39.75,22.25,0.0,269.92114,0.11807251,-0.7436981,265.8471,0,0001,-3.2288513,-7.302887
1990-01-07 18:00:00,39.75,22.5,0.0,273.50513,0.8377991,-0.3716278,267.3432,0,0001,0.35513306,-5.806793
1990-01-07 18:00:00,39.5,22.25,0.0,272.7395,0.5213928,0.82954407,267.33344,0,0001,-0.41049194,-5.816559
1990-01-07 18:00:00,39.5,22.5,0.0,271.03442,0.36416626,1.43013,267.66156,0,0001,-2.11557,-5.488434
1990-01-08 00:00:00,39.75,22.25,0.0,268.83826,-0.034469604,-1.2223663,261.95618,0,0001,-4.311737,-11.193817
1990-01-08 00:00:00,39.75,22.5,0.0,272.2152,0.7545929,-0.8219757,263.89954,0,0001,-0.93478394,-9.250458
1990-01-08 00:00:00,39.5,22.25,0.0,268.28552,0.003616333,0.6389618,265.70422,0,0001,-4.8644714,-7.4457703
