year,cmip6_tmax_mean,era5_ols_last20yr_extrapolated,gap_c
2026,25.267205136986323,23.858188267136104,1.4090168698502197
2027,24.382082273972625,23.87784905680302,0.504233217169606
2028,26.514645712328786,23.897509846469926,2.6171358658588595
2029,25.254937500000022,23.917170636136834,1.3377668638631874
2030,24.129467595890436,23.936831425803742,0.19263617008669343
2031,24.4023314452055,23.95649221547065,0.445839229734851
2032,25.599811239726048,23.976153005137565,1.6236582345884827
2033,26.114626527397284,23.995813794804473,2.1188127325928114
2034,24.87616747945208,24.01547458447138,0.8606928949806978
2035,25.192354150684956,24.03513537413829,1.1572187765466673
2036,24.97075035616441,24.054796163805204,0.9159541923592052
2037,24.58262202739728,24.07445695347211,0.50816507392517
2038,25.82519765753427,24.09411774313902,1.7310799143952522
2039,25.756250191780847,24.113778532805927,1.6424716589749195
2040,25.194315328767143,24.133439322472835,1.0608760062943077
2041,26.853945020547968,24.15310011213975,2.700844908408218
2042,25.325282979452076,24.172760901806658,1.1525220776454184
2043,25.69459529452057,24.192421691473566,1.5021736030470052
2044,26.21000942465756,24.212082481140474,1.9979269435170863
2045,24.985125041095916,24.23174327080738,0.7533817702885344
