date,t2m_max,t2m_min,t2m_mean,rh_min,rh_mean,tp_mm,wind_avg,wind_max
1990-01-01,12.750482500000032,12.043572500000025,12.35056562500002,92.34651605336468,95.49121112448135,5.4259319999999995,1.4498272399649277,1.792482892292886
1990-01-02,13.928800000000024,9.667477500000018,11.84893437500002,78.34932779198611,89.20178128958807,0.322581,1.8537626046839488,2.538527926177588
1990-01-03,13.94052000000002,9.459132500000038,10.864483750000025,87.61344853172905,90.1319940294566,20.4542415,2.481461613083779,5.491289576171376
1990-01-04,11.924922500000022,4.885375000000025,8.738017500000026,73.38306826044835,81.52245041884966,0.0,2.070335027034668,2.3312449078010395
1990-01-05,12.03627250000001,5.629542500000028,9.059066875000015,72.71584256685301,85.00022462841645,0.0,1.9120956971086809,2.3142392273578443
1990-01-06,14.329430000000016,7.587245000000024,10.646400000000025,76.77671058285041,86.2796370577767,0.0,1.894154251388711,2.1447153310173968
1990-01-07,15.11098250000002,7.94967250000002,11.71486687500002,75.29836700859236,85.02551639511883,0.0,1.0762719760982011,1.3240304982985476
1990-01-08,13.164210000000026,8.414332500000029,11.265145000000022,58.18896293639481,68.92722134239006,0.0,4.09321528602468,5.533343086768575
1990-01-09,13.17624000000002,7.723442500000019,10.88599000000002,61.77711382450873,68.13590049745225,0.0,3.719154525607907,4.308031421802464
1990-01-10,12.39787750000002,5.214907500000024,8.891848750000015,62.62269516099393,73.66586660338203,0.0,2.58299413063331,3.521424621253531
1990-01-11,11.850485000000036,5.7815475000000305,9.182168125000024,61.37167079435469,70.54606940398492,0.0,3.366575841819094,3.869767583716597
1990-01-12,12.565392500000016,4.569907500000028,8.472406250000024,69.15416831200353,80.30803335973926,0.0,2.1874977587585223,2.3200126291019796
1990-01-13,14.167540000000017,4.555657500000024,9.290194375000016,68.03091143749165,79.68690160994396,0.0,2.025276097817823,2.7887478042940046
1990-01-14,14.905545000000018,5.663842500000015,10.732691250000023,63.33435561472932,76.70232802059678,0.0,1.9370932701522987,2.6858803068527752
1990-01-15,12.98031250000004,5.44444500000003,9.66577187500003,66.32521160963324,76.92636677002396,0.0,2.428747627968921,3.200899651785379
1990-01-16,14.247095000000016,6.778582500000027,10.62374062500002,60.377016559255416,74.65492506461922,0.0,2.969101768516121,4.232064092144963
1990-01-17,12.739010000000036,7.046747500000009,10.355569375000028,72.43212812364581,79.23471634913334,0.02145,2.3028880234439875,2.9107004443399527
1990-01-18,13.123042500000013,4.522975000000031,9.346376875000022,68.51470579822475,81.99443323165895,0.0,1.4262200440552502,1.6959839037983238
1990-01-19,12.022485000000016,4.7672375000000216,8.999260000000021,57.64769637948432,72.30258188424065,0.0,2.6447562740394663,3.673619617390579
1990-01-20,12.915062500000005,4.801352500000007,8.818193125000011,62.35272480318865,72.24219801142328,0.0,2.5713713401250473,3.0616109563040528
1990-01-21,13.087055000000037,3.700735000000023,8.377128125000027,61.19776191779194,75.46539635381146,0.0,2.053496691065948,2.5607211086597603
1990-01-22,14.95510250000001,2.639917500000024,8.78467687500002,53.36563662340157,73.9819535548654,0.0,1.4869317542620388,1.9104902923498028
1990-01-23,13.030477500000018,2.263760000000005,7.832084375000019,63.31812374412582,76.89510692836939,0.0,1.8600634182269589,2.1909005386364573
1990-01-24,13.793360000000035,5.124535000000023,9.684861875000028,73.61498288839746,82.94949060621985,0.0085875,1.081279425714652,1.5330908422476788
1990-01-25,14.922752500000016,9.756007500000038,12.23840437500002,73.86938406844735,84.66878982986916,0.098691,1.784766184666126,2.235303663265394
1990-01-26,15.42525000000002,10.418815000000038,13.425041250000028,71.70589823082564,84.4256982765695,0.6973995,2.593510767390897,3.645413376248248
1990-01-27,15.30602500000002,12.789060000000006,13.950960625000022,78.70607508100768,85.43499599105863,3.2295045000000004,4.906958667987915,6.654077413445644
1990-01-28,13.546227500000027,10.886900000000026,11.694955625000024,66.43306656797861,79.14610312425108,12.8595135,3.125908824859055,5.600078327040189
1990-01-29,12.562525000000008,4.656095000000022,9.004396250000017,67.67324626047582,73.62234362749543,0.0,2.7030535031080896,4.045284119349575
1990-01-30,14.328882500000006,7.513212500000009,12.07098812500002,71.60182349387303,85.11921242020804,2.658606,2.0933958223418707,4.719685581375524
