valid_time,t2m,d2m,u10,v10,tp,t2m_celsius,d2m_celsius,precip_mm,precip_mm_scaled,wind_speed,dewpoint_depression_c,wind_dir,rh_percent,heat_index_c,year,month,hour,season,decade,t2m_anom
1990-01-01 00:00:00,277.91220250000003,276.25348,-0.5535278324999999,-1.1816559,4.6849251e-05,4.762202500000029,3.103480000000033,0.046849250999999995,0.281095506,1.5930676187437836,1.658722499999996,25.09999050831476,89.00393615949511,3.6179699719424048,1990,1,0,DJF,1990s,1.4460411634657175
1990-01-01 06:00:00,277.5729675,276.080505,-0.8808441100000001,-1.2989196675,7.593631625e-05,4.422967500000027,2.930505000000025,0.07593631625,0.4556178974999999,1.7134315276949361,1.492462500000002,34.142606294641155,90.02967087214896,3.2715945449950308,1990,1,6,DJF,1990s,1.9526416042751773
1990-01-01 12:00:00,280.43396,275.9514775,-3.360488875,-0.545791615,7.77244555e-05,7.283960000000036,2.8014775000000185,0.0777244555,0.46634673299999996,3.4347818202788822,4.4824825000000175,80.77489497469958,73.19745273704369,5.9791783770228495,1990,1,12,DJF,1990s,-2.546002443847641
1990-01-01 18:00:00,278.4668875,275.7930925,-0.956619255,-0.654052729,6.31809224e-06,5.316887500000021,2.6430925000000087,0.00631809224,0.037908553440000006,1.2420345589905522,2.6737950000000126,55.63908814248384,82.88564372311681,4.068368058325855,1990,1,18,DJF,1990s,0.13131236518012024
1990-01-02 00:00:00,275.79648,274.3785375,0.08242797499999999,-0.910369875,4.768371525e-06,2.6464800000000253,1.22853750000003,0.0047683715250000005,0.02861022915,1.0668107719163147,1.4179424999999952,354.82635312568283,90.37446407480083,1.3264612286198287,1990,1,0,DJF,1990s,-0.30244009114582937
1990-01-02 06:00:00,276.62744250000003,275.0314975,0.0332641605,-0.4016723575,1.0609626675e-05,3.4774425000000235,1.881497500000009,0.010609626675,0.06365776005,0.6968998129308295,1.5959450000000146,355.26590063966785,89.29478814969913,2.2123284405755013,1990,1,6,DJF,1990s,1.2143271516927086
1990-01-02 12:00:00,279.94354,274.91186500000003,-1.4253692500000001,-0.518966685,6.961822625e-05,6.7935400000000215,1.7618650000000287,0.06961822625,0.41770935750000004,1.589237407753684,5.031674999999993,69.9937990888738,70.29885408768695,5.36403074562296,1990,1,12,DJF,1990s,-3.290855630425348
1990-01-02 18:00:00,278.898775,275.42209,0.13087463249999998,-0.35006714,2.38418574e-06,5.7487750000000375,2.272090000000034,0.00238418574,0.014305114440000002,0.5413979030101581,3.4766850000000034,339.5014514870986,78.34732549495837,4.424943776812845,1990,1,18,DJF,1990s,0.5029372601996664
1990-01-03 00:00:00,279.105655,276.6022,0.7212829574999999,-0.59016419,1.704692879e-05,5.9556550000000215,3.452200000000019,0.01704692879,0.10228157273999999,0.9690733055273094,2.5034550000000024,309.2905292495647,83.96890272496495,4.79929740448522,1990,1,0,DJF,1990s,2.644273064778645
1990-01-03 06:00:00,279.63372749999996,276.772585,0.35491943,-0.5688934325,6.2227249325e-05,6.483727500000015,3.622585000000015,0.062227249325000004,0.37336349595,1.131310365505072,2.8611424999999997,328.0409164893591,81.9445406881748,5.32731881241347,1990,1,6,DJF,1990s,3.7640256306966067
1990-01-03 12:00:00,279.216245,274.28826499999997,-0.328689575,-1.06803893,6.878376049999999e-05,6.066245000000023,1.138265000000004,0.0687837605,0.41270256299999997,1.139119668669056,4.927980000000019,17.10577768555123,70.67744217494308,4.573891601234653,1990,1,12,DJF,1990s,-3.8998918448893196
1990-01-03 18:00:00,278.4514125,274.6239925,-0.743957525,-0.8805694625,2.5033950900000002e-06,5.3014125000000405,1.4739925000000085,0.0025033950900000003,0.015020370540000001,1.1709042952974404,3.827420000000032,40.193114871599334,76.33812142507472,3.8803824760992196,1990,1,18,DJF,1990s,-0.22793967502168488
1990-01-04 00:00:00,275.3237275,271.3927025,-0.19938660300000002,-1.461715725,6.91413865e-06,2.1737275000000267,-1.7572974999999786,0.00691413865,0.041484831900000005,1.5216802413249586,3.9310250000000053,7.767541555924538,75.231175563123,0.41102538970379654,1990,1,0,DJF,1990s,-0.9558372083875852
1990-01-04 06:00:00,273.52072250000003,269.0199,0.685180655,-1.0454711925,7.15255725e-07,0.37072250000004203,-4.130099999999999,0.0007152557250000001,0.004291534350000001,1.5792683333867779,4.500822500000041,326.75997779376905,71.78234800080004,-1.6623328299790647,1990,1,6,DJF,1990s,-2.1240625406900837
