,min_spi3,max_week_precip_mm
1990,-2.61940322553606,44.9459547258
1991,-1.2756986077886514,85.04319208563001
1992,-1.716395638235845,76.23624833229
1993,-1.7728450714938868,80.54566374288
1994,-1.2851325331198802,141.32666568294
1995,-1.3676145502973929,86.1489775254
1996,-0.8173454672182505,47.108173322940004
1997,-0.21107618986331275,56.86569201114
1998,-2.452709514608043,155.7286978971
1999,-1.6258847852495766,93.81651847803
2000,-1.783983112141713,42.85168569885
2001,-1.990686263350678,56.56099289379
2002,-0.9108646031494249,90.40188767592
2003,-0.8267741298169309,77.98361790171
2004,-1.2288383076170712,49.28827290777
2005,-1.2936118236012972,56.619644651429994
2006,-0.22144644770050684,69.51284408382
2007,-2.06480606667085,39.050102288489995
2008,-2.034985859557419,78.50217836004
2009,-1.5542698391310967,95.95871011545
2010,-0.35130598439222765,56.83350557685
2011,-1.576725867869082,49.51000208664
2012,-1.836181005905008,91.31455439439
2013,-1.8622326152588826,50.29535287347
2014,-1.1126665333063275,58.72321121454
2015,-0.9836341551974886,101.10640537224
2016,-1.7066309116414788,81.2594888448
2017,-1.151337869671003,141.31379131653
2018,-0.5227356719967239,95.18051131217999
2019,-0.7718519173888653,96.80128166078998
2020,-1.3588343040051956,91.35603948495
2021,-1.1747157116331817,65.65976142883034
2022,-0.20401227024248236,90.68870544433527
2023,-1.76732043129359,253.0660629272421
2024,-0.8253285126839903,99.2352962493871
2025,-0.9022312831539046,138.56220245360896
