year,tmin_mean,precip_scaled,max_week_precip_mm
1990,11.222079041095911,409.22856294585,44.9459547258
1991,10.392865575342489,625.84841266758,85.04319208563001
1992,10.089955314207671,443.85981600765,76.23624833229
1993,10.699710547945228,565.16539965627,80.54566374288
1994,11.819668150684956,726.25207864425,141.32666568294
1995,11.137363102739748,675.51040715667,86.1489775254
1996,11.348382834699477,572.06976436104,47.10817332294
1997,10.81054032191783,632.94374942289,56.86569201114
1998,11.69402673972605,612.95127809682,155.7286978971
1999,11.770454917808244,646.58868229818,93.81651847803
2000,10.69262961748636,384.38951814702,42.85168569885
2001,11.4248576712329,477.92923462554,56.56099289379
2002,11.248986897260297,743.20256740983,90.40188767592
2003,11.229844650684951,649.37245844085,77.98361790171
2004,11.04202823087434,523.95200805798,49.28827290777
2005,11.055592315068516,498.63410010288,56.619644651429994
2006,10.93797575342468,687.37792805298,69.51284408382
2007,11.57435984931509,470.00455951392,39.050102288489995
2008,11.838565314207672,419.90232454113,78.50217836004
2009,11.814915952054818,674.05664950242,95.95871011545
2010,12.242041246575369,630.68354080425,56.83350557685
2011,10.75928379452057,607.95414418587,49.51000208664
2012,11.657238524590186,733.30915128264,91.31455439439
2013,11.883132321917833,439.4195082042,50.29535287347
2014,12.382396904109612,670.12381518198,58.72321121454
2015,11.531964678082216,703.98259190805,101.10640537224
2016,11.883833080601114,558.49242171924,81.2594888448
2017,11.396764883561668,758.61668732235,141.31379131653
2018,12.129296219178103,879.2417034343799,95.18051131218
2019,12.148950541095912,664.16788125147,96.80128166078998
2020,11.66878134562844,562.09516648905,91.35603948495
2021,11.950196399427462,589.6639823913124,65.65976142883034
2022,11.754724539142789,835.916519164993,90.68870544433528
2023,12.25222786681295,828.4041881560851,253.0660629272421
2024,12.832651840793654,714.4496440887062,99.2352962493871
2025,12.517330472763293,685.269355773876,138.56220245360896
