variable,OLS slope/decade,OLS p-value,Theil-Sen slope/decade,Theil-Sen 95% low,Theil-Sen 95% high,Kendall tau,tau p-value,significant (p<0.05)
DJF,0.5521426393532317,0.0009359324974534709,0.5744703425925923,0.22762363927045204,0.9116089803791895,0.3587301587301588,0.0020816979767858492,True
MAM,0.4539672894614981,0.003986135115336388,0.45219703357919294,0.140404666596988,0.7750608477774057,0.31111111111111117,0.0075920118473087805,True
JJA,0.6206957371897278,1.9207903912089404e-06,0.5629292476222787,0.35734672214673857,0.8045507142789308,0.5650793650793651,1.2406146144037617e-06,True
SON,0.37999041791590815,0.0027640744019074123,0.34906296789148294,0.08804560868818867,0.5767848145604404,0.2920634920634921,0.012202120291615373,True
