year,cmip6_tmin_mean,era5_ols_last15yr_extrapolated,gap_c
2026,13.621025566210069,12.495738387324195,1.1252871788858734
2027,13.93451155707765,12.568132573971184,1.3663789831064665
2028,14.085810095890432,12.640526760618144,1.445283335272288
2029,13.806901378995457,12.712920947265133,1.0939804317303246
2030,13.971860388127876,12.785315133912093,1.1865452542157833
2031,13.60183568949774,12.857709320559081,0.7441263689386588
2032,14.888873812785413,12.930103507206042,1.958770305579371
2033,15.367431926940663,13.00249769385303,2.3649342330876326
2034,14.81424882191783,13.07489188049999,1.7393569414178405
2035,13.735920853881302,13.147286067146979,0.5886347867343229
2036,14.936038278538835,13.219680253793939,1.7163580247448955
2037,15.272392260273994,13.292074440440928,1.9803178198330667
2038,14.445222406392718,13.364468627087888,1.08075377930483
2039,15.313877479452076,13.436862813734876,1.8770146657171995
2040,14.573396063926964,13.509257000381837,1.0641390635451273
2041,14.782480251141575,13.581651187028825,1.2008290641127495
2042,15.035308780821941,13.654045373675785,1.3812634071461556
2043,14.627978593607327,13.726439560322774,0.9015390332845534
2044,15.966824305936095,13.798833746969734,2.167990558966361
2045,16.18241076712331,13.871227933616723,2.3111828335065887
