year,tas_mean,rh_mean,heat_index_mean,wind_mean,tas_p95,tas_p05,tmax_mean,tmin_mean,precip_total,days tmax>=30 C,days tmax>=33 C,days tmax>=35 C,days tmax>=37 C,days tmax>=40 C,tropical nights tmin>=20 C,days heat index>=35 C,heatwaves,heatwave days,longest (days),wet days,mean intensity (mm/wet day),max 1-day (mm),P95 wet-day (mm),longest dry spell (days),max_week_precip_mm
2026,16.87154855707765,62.797327749101456,16.160591132856254,2.918144157452055,30.7081436666667,5.042029666666692,19.99767955251144,13.621025566210069,498.5039365147565,68,43,19,3,0,88,0,1,3,3,98.0,4.677594303278373,33.941757833333334,12.88923106749998,38.0,43.740301794
2027,17.34957970776258,63.34559385287406,16.742514604086647,2.895639906931507,31.487575666666686,3.7250763333333503,20.644218429223766,13.93451155707765,536.101456353042,87,50,27,11,1,103,1,2,14,9,99.0,5.024369039285331,20.25631466666667,13.806529364999996,27.0,45.623482049883336
2028,17.358182324200936,64.70529931441368,16.786147053743026,2.900307239214612,31.77267500000002,6.115679333333355,20.475562123287695,14.085810095890432,796.7878975484258,91,47,30,11,0,115,0,2,15,12,115.0,6.575930109707411,39.949454333333335,20.778663381666664,36.0,93.27138436566666
2029,17.290955817351623,62.88076379189074,16.576432560755837,2.860976184789954,31.201317333333357,6.425203000000012,20.717458187214636,13.806901378995457,452.0608854176837,77,55,31,9,3,93,0,5,19,6,81.0,5.162020170531219,28.958144200000003,14.397535166666666,62.0,41.714377415
2030,17.465314461187237,63.64854691559302,16.862399802957214,2.949293511826484,29.93850766666669,7.1826153333333576,20.81967869863016,13.971860388127876,521.9653297888478,67,29,8,1,0,98,0,0,0,0,107.0,4.5013185060705085,16.101276600000002,11.537704699999999,48.0,35.83327319710333
2031,17.067663027397284,62.71093815213624,16.45672368810845,2.9403628015068493,30.261072333333363,2.2928420000000225,20.423507995433813,13.60183568949774,436.7333875181311,81,48,19,4,0,91,0,3,15,7,102.0,3.821511903682574,17.741886833333336,10.957684088333316,24.0,40.337687312844544
2032,18.277307136986323,59.79640889984047,17.62095982608166,2.792833368200913,32.09675133333336,6.260256000000017,21.548160223744315,14.888873812785413,391.45753093066776,92,66,38,13,0,107,0,5,35,14,74.0,4.764827489320208,34.9501369,14.313333791666663,26.0,59.82684710410499
2033,18.867355365296827,58.51458310976979,18.271265208675125,2.8619431247123286,32.337872333333344,6.231411333333366,22.296026260273994,15.367431926940663,351.64534956755136,109,66,40,11,0,125,0,7,38,10,75.0,4.202539363436092,21.410310499999998,11.234364679999999,35.0,37.069693955466335
2034,18.24095173972605,58.2122845248339,17.5591968220082,2.834679323219178,31.37827600000003,5.613693333333353,21.4967967625571,14.81424882191783,341.1803614370521,84,46,25,13,0,112,0,3,25,13,67.0,4.527570354458166,15.889332416666667,11.499967885,32.0,33.86183466083334
2035,16.953831904109613,61.44534350326861,16.24685633445607,3.115496751105023,30.08283233333336,3.7315883333333564,20.03471663470322,13.735920853881302,441.39361171200756,79,31,8,2,0,99,0,3,15,6,95.0,4.193963474269013,20.628769000000002,11.662347899999999,76.0,42.95430597
2036,18.28777468493153,61.80548443077074,17.754716232585096,2.808158420826484,32.39119100000001,3.0559996666666924,21.584849082191806,14.936038278538835,387.3524658140441,107,63,43,15,0,117,0,7,33,7,67.0,5.0157511393852285,23.148021666666665,15.429537848333313,52.0,43.72728748083333
2037,18.51813875799089,62.47409380860991,17.962344344385205,2.903364345767123,32.237929333333355,6.138356000000039,21.651055968036555,15.272392260273994,514.137794329063,83,55,30,11,0,112,0,10,46,9,91.0,5.222477922471193,22.058722666666668,16.6198115,59.0,55.6482163764
2038,18.01938710958906,59.5806232126744,17.32342760069992,2.8877604423150687,33.14514166666669,5.2690810000000265,21.50189898173518,14.445222406392718,394.9338069894685,93,75,51,20,0,112,0,6,36,15,78.0,4.611080514478424,23.749855166666666,15.352738566666662,44.0,41.44664694684085
2039,18.856740415525135,60.45964174966673,18.38014550150856,2.717288242082192,33.198647666666695,6.110610333333358,22.356737410958928,15.313877479452076,365.84237814479184,97,77,55,34,4,122,5,6,59,32,77.0,4.284293662337793,14.614902333333333,12.066084066666667,48.0,42.738179028333334
2040,17.80737450228313,61.43045867372686,17.23722608994808,3.004357084018265,30.004918000000032,6.1818033333333515,20.87170097716897,14.573396063926964,531.1704372705243,64,38,13,8,0,91,4,4,22,9,81.0,6.012418416979413,28.0796505,17.143203833333335,33.0,49.815007344
2041,18.206581885844773,56.9551527079057,17.418266389006856,2.9158092244885845,32.95776200000003,4.703652000000009,21.485685264840203,14.782480251141575,321.129035778284,87,67,49,21,1,110,1,4,29,12,58.0,4.954759766644686,21.922284166666667,15.202703608333335,70.0,51.218561944166666
2042,18.388305273972627,61.5682964467868,17.832532308008,2.73513880926484,32.65499533333335,5.492168000000031,21.636380420091346,15.035308780821941,513.718752758928,92,70,46,15,1,115,2,3,18,10,99.0,4.87948461424062,27.168422333333336,14.182945768333324,30.0,40.843250733259005
2043,18.196295155251164,59.06934109571769,17.58831077712523,2.8495063190913243,33.34694600000002,5.6379303333333555,21.640852059360753,14.627978593607327,443.2707828369118,88,63,45,28,4,108,4,4,44,27,80.0,5.163003753074632,26.51057366666667,15.925936749999995,47.0,49.52482595668334
2044,19.703175415525138,55.62371641870822,18.991422811051798,2.7908981784063926,34.86552300000003,5.5890893333333524,23.33185887214614,15.966824305936095,264.71758735903114,113,81,54,43,13,126,13,10,77,21,54.0,4.328674123573838,19.74948566666667,13.478787144999966,89.0,47.78497653583334
