year,era5_historical,cmip6_raw,cmip6_biascorrected,baseline_ols_full_history,baseline_naive_full_mean
1990,-2.61940322553606,,,,
1991,-1.2756986077886514,,,,
1992,-1.716395638235845,,,,
1993,-1.7728450714938868,,,,
1994,-1.2851325331198802,,,,
1995,-1.3676145502973929,,,,
1996,-0.8173454672182505,,,,
1997,-0.2110761898633127,,,,
1998,-2.452709514608043,,,,
1999,-1.6258847852495766,,,,
2000,-1.783983112141713,,,,
2001,-1.990686263350678,,,,
2002,-0.9108646031494247,,,,
2003,-0.8267741298169309,,,,
2004,-1.2288383076170712,,,,
2005,-1.2936118236012972,,,,
2006,-0.2214464477005068,,,,
2007,-2.06480606667085,,,,
2008,-2.034985859557419,,,,
2009,-1.5542698391310967,,,,
2010,-0.3513059843922276,,,,
2011,-1.576725867869082,,,,
2012,-1.836181005905008,,,,
2013,-1.8622326152588824,,,,
2014,-1.1126665333063277,,,,
2015,-0.9836341551974886,,,,
2016,-1.7066309116414788,,,,
2017,-1.151337869671003,,,,
2018,-0.5227356719967239,,,,
2019,-0.7718519173888653,,,,
2020,-1.3588343040051956,,,,
2021,-1.1747157116331817,,,,
2022,-0.2040122702424823,,,,
2023,-1.76732043129359,,,,
2024,-0.8253285126839903,,,,
2025,-0.9022312831539046,,,,
2026,,-1.9004890385326036,-1.8683770783202087,-0.971692615277334,-1.3100588078274253
2027,,-1.5467566688377126,-2.201605275763995,-0.95340255081517,-1.3100588078274253
2028,,-0.970240244750578,-0.8884710475406924,-0.9351124863529989,-1.3100588078274253
2029,,-1.7361842884208332,-3.1088235699282105,-0.916822421890835,-1.3100588078274253
2030,,-2.0260643392172053,-2.4446618831805185,-0.898532357428671,-1.3100588078274253
2031,,-1.9123815182043715,-2.2601225529994347,-0.8802422929664999,-1.3100588078274253
2032,,-1.7115548548984438,-1.5312264344664157,-0.861952228504336,-1.3100588078274253
2033,,-1.5721141945712205,-2.086785984178258,-0.8436621640421649,-1.3100588078274253
2034,,-1.9136319433340108,-2.997324039776457,-0.8253720995800009,-1.3100588078274253
2035,,-2.046515785113217,-2.53861253966541,-0.8070820351178369,-1.3100588078274253
2036,,-2.561572508611843,-2.2823466073546417,-0.7887919706556659,-1.3100588078274253
2037,,-2.985604696221933,-3.6259607594370578,-0.7705019061935019,-1.3100588078274253
2038,,-2.020114840512316,-2.445740555830706,-0.7522118417313308,-1.3100588078274253
2039,,-2.6010169183129803,-2.614226248804677,-0.7339217772691669,-1.3100588078274253
2040,,-1.1842019817048328,-1.2492178243007594,-0.7156317128069958,-1.3100588078274253
2041,,-3.601672181251448,-3.938480695600147,-0.6973416483448318,-1.3100588078274253
2042,,-2.490129773436651,-2.6104161659801033,-0.6790515838826678,-1.3100588078274253
2043,,-2.378088782380189,-2.0802065918457835,-0.6607615194204968,-1.3100588078274253
2044,,-3.861712944574227,-4.402067715923965,-0.6424714549583328,-1.3100588078274253
2045,,-1.6672872144849722,-1.759476775348911,-0.6241813904961617,-1.3100588078274253
