year,tas_mean,rh_mean,heat_index_mean,wind_mean,tas_p95,tas_p05,tmax_mean,tmin_mean,precip_total,days tmax>=30 C,days tmax>=33 C,days tmax>=35 C,days tmax>=37 C,days tmax>=40 C,tropical nights tmin>=20 C,days heat index>=35 C,heatwaves,heatwave days,longest (days),wet days,mean intensity (mm/wet day),max 1-day (mm),P95 wet-day (mm),longest dry spell (days),max_week_precip_mm
2026,15.895000639466835,64.42077237773972,15.22709413890475,1.5625916280361003,27.9854872656595,3.6206891556799325,21.29464143148068,11.908671109154918,509.5452471182252,76,31,14,5,0,74,0,4,14,4,66.0,7.169623080966696,82.65036207634925,19.3605427184946,54.0,88.76511486735644
2027,16.343335164259372,65.01340649050148,15.73259213910738,1.5474549132419102,29.367634655057806,2.4837423252470563,21.95181998686704,12.242321460412352,528.0009895382234,100,50,28,11,5,80,2,6,36,10,71.0,6.982393676775698,30.546580303858946,17.428680287986168,50.0,53.00617102568624
2028,16.342983993568062,66.31229921035516,15.783641943315038,1.562392308746279,28.953261340930208,4.395268539733727,21.771670612522858,12.407900525317755,909.5679821662036,102,46,29,13,4,100,0,5,29,12,91.0,9.637964071037981,75.4994228495278,28.81987551281913,40.0,131.1735692208851
2029,16.30789481343202,64.56635740928272,15.645317436883179,1.5275624059362547,28.826231213186254,5.185600659351872,22.181937911467287,12.130207848274342,477.72247598061824,77,49,30,13,6,65,1,11,50,11,64.0,7.085726773242579,47.82085887490209,18.90297389017385,62.0,67.2847758235376
2030,16.496466784587273,65.11629522676573,15.90649955905863,1.5887527090282152,26.87858700478668,6.135276534132185,22.22104536591738,12.339855906484086,467.0960974625326,67,26,3,2,0,57,0,10,47,7,81.0,5.393255398928702,20.09105108529499,13.703884625996835,48.0,39.417240568478704
2031,16.15317794272604,64.4233421707873,15.535654299293945,1.5697988615895393,27.870620583005174,1.1807108178505776,21.87432381353831,11.892957525117042,387.3221805656299,83,46,23,6,0,71,0,9,50,10,77.0,4.571222296734864,20.965296488551086,11.685453075292964,31.0,43.129391199467854
2032,17.28777023801578,61.634325387210694,16.690430656164455,1.5105293475436343,29.424855748521644,4.838227376543751,23.10015357209954,13.207682316477616,391.4631622104784,100,65,38,14,0,91,0,13,62,9,54.0,6.723270885159518,55.024959819407755,16.95127504288572,29.0,80.5673587644904
2033,17.958060920510828,60.38634574456462,17.353763414183366,1.530442834875117,32.53985323451897,4.681184103449207,24.013012994285475,13.788410201349494,333.45251865240846,124,73,46,25,15,100,0,14,111,25,54.0,5.662879952023855,25.190394096814543,13.970413278313146,57.0,40.52846476906109
2034,17.43589025665325,60.10694873253677,16.812435322717796,1.55262695332164,29.348886788726183,3.9543143019214693,23.209333575284035,13.237755329882878,303.845408231304,99,48,25,16,5,80,2,13,78,13,51.0,5.450765658185268,16.725491883877805,13.534014887359643,40.0,29.778523537011566
2035,16.08849239582131,63.365830728130234,15.425457024880558,1.6527309210829384,27.618299625002752,2.7124864124585475,21.335436561896547,12.113601017183793,410.3792137750175,77,35,7,2,0,76,0,6,35,11,76.0,5.02879469010939,25.138950553696542,15.40164483909576,109.0,41.94684851807065
2036,17.43532965630788,63.6284533999917,16.937853594941647,1.5114273453709772,30.443437347036713,1.9399345025811388,23.337979898099974,13.367723954485443,382.3233831720768,110,70,47,26,10,109,2,15,103,14,49.0,7.133886177959515,29.35376393696448,23.203708560381465,52.0,71.27855624466541
2037,17.740373818217524,64.0958509241787,17.25272954895175,1.5612651882122084,29.452198193597567,4.978304914971755,23.420711487086688,13.779606931965056,490.00620390401906,90,54,33,11,2,87,1,18,87,10,74.0,6.287598974782125,31.17897337953811,20.642086222548677,106.0,65.65069148044363
2038,16.95513182011132,61.18703280863367,16.306025354911657,1.5648802407926867,30.533633800372534,3.738410282766894,22.95476671680367,12.718587744100859,387.2619268330341,105,79,51,24,1,96,1,15,85,15,56.0,6.4710843272276515,37.234428899900124,20.14834784386503,44.0,67.22076609694362
2039,18.05162574730895,62.18566797361329,17.611760550421284,1.4449317546289193,30.978375386544386,4.5381053994544605,24.244690734823887,13.765535393301311,345.0141188243724,113,85,62,33,7,103,1,17,133,23,58.0,5.536273401524638,21.94250089754976,13.893362024920291,38.0,41.87084597447891
2040,16.92794555608144,63.11572251471246,16.372020775089076,1.637423357926736,27.31143113369151,4.557738531087735,22.30768278116458,13.035586539832714,569.5445704818558,77,34,16,8,5,64,6,9,62,20,72.0,7.617988856418157,35.075002208520424,26.560137759258257,33.0,56.62244307485761
2041,17.33405745950879,58.534641411495585,16.62023594986337,1.56901584964504,31.50297308204462,3.1345740527919204,23.11027280344087,13.192571925330814,303.02162135579806,100,70,50,33,9,99,1,12,85,16,47.0,5.9988192912996,31.25869360401435,17.467182624357687,70.0,52.65787666583538
2042,17.43062226892014,63.23250162683145,16.899624261118205,1.465097597737165,30.7636984830449,3.8541153894655475,23.22187558728449,13.428827224790755,528.3345414788902,95,77,54,17,7,96,4,9,57,12,79.0,6.388755307199688,44.218569638105635,24.749565907867193,33.0,54.57643329462444
2043,17.211262619142058,60.92119261364318,16.65846135888918,1.5405613428943505,30.805470949956018,3.983475403355223,23.13423684382059,12.93615038371052,464.76357029080447,115,70,46,31,13,93,6,10,85,27,57.0,7.799822508703722,43.57618408618426,24.369785459972007,47.0,54.92831386278575
2044,19.014167799416178,57.237421936011835,18.425480611903772,1.4941687678835687,34.03713381729978,3.931430316927978,25.493422434578633,14.577459627298797,220.8844827568104,139,91,66,45,30,113,14,19,166,38,40.0,5.0468790882278824,23.49041730647527,19.304079684583428,157.0,51.0054104360613
2045,18.94768723943318,66.46466488994278,18.74809152901882,1.57032347390708,29.399577141805025,7.473946926220286,24.47103146592213,15.052944199807518,734.5066104807838,108,57,36,10,1,93,3,15,132,24,93.0,7.501131169712605,51.08934135507656,25.165977744731872,47.0,69.23337251479057
