year,days_fwi_gt15,days_fwi_gt30,days_fwi_gt45,fwi_mean,fwi_jjas_mean,fwi_p95,fwi_max
2026,182,129,79,22.67,45.266,58.914,66.456
2027,272,167,41,26.753,40.499,51.08,57.896
2028,275,200,75,29.86,46.59,55.929,62.958
2029,249,159,85,26.57,45.903,55.061,60.652
2030,194,139,55,22.162,43.522,53.66,68.832
2031,164,112,46,18.516,36.065,51.797,59.094
2032,213,131,40,21.547,38.468,47.862,56.604
2033,188,143,71,21.997,39.12,54.422,63.193
2034,194,133,59,22.28,45.183,55.244,70.41
2035,198,160,82,23.953,45.724,51.984,64.016
2036,172,132,40,20.388,41.41,47.475,59.796
2037,201,135,31,20.755,37.692,47.801,56.02
2038,225,152,55,24.083,39.791,49.913,55.433
2039,192,113,53,21.413,38.856,51.603,60.843
2040,187,126,60,20.559,42.803,51.926,58.285
2041,268,196,94,30.431,44.248,55.697,66.443
2042,257,187,63,27.866,41.484,50.378,62.304
2043,233,139,55,24.417,40.555,52.084,61.915
2044,203,154,86,24.154,46.969,54.724,72.192
2045,197,150,55,21.907,43.185,52.976,61.286
