start,length,peak,mean_tmax,year
2026-01-06,3,14.775661666666688,14.59338388888891,2026
2027-07-12,9,41.34528666666668,38.73648814814817,2027
2027-07-31,5,38.23620833333336,36.92219100000002,2027
2028-07-26,12,39.32660333333336,37.88966333333335,2028
2028-08-19,3,37.695855000000016,36.79113555555558,2028
2029-07-15,4,38.12983500000002,37.73778000000002,2029
2029-07-21,6,40.89198166666669,39.22589611111113,2029
2029-08-05,3,36.33485333333334,36.25468500000002,2029
2029-12-11,3,17.54879500000004,16.37063055555558,2029
2029-12-28,3,16.483646666666687,15.49798444444447,2029
2031-07-30,7,37.621680000000026,37.07730714285717,2031
2031-09-03,5,36.33973666666669,35.02752233333335,2031
2031-12-31,3,15.093535000000022,14.896572222222241,2031
2032-01-11,5,15.907368333333352,15.035644333333355,2032
2032-07-15,3,37.38764666666669,37.31256777777781,2032
2032-07-30,14,38.805371666666694,37.2308710714286,2032
2032-08-27,10,37.42747833333335,35.88147150000002,2032
2032-12-09,3,17.336780000000022,16.597086666666687,2032
2033-01-08,3,16.05657666666669,15.470820555555582,2033
2033-03-30,3,22.54763333333335,22.25663666666669,2033
2033-05-11,4,31.944583333333355,31.266895833333354,2033
2033-05-19,5,34.022256666666685,32.72310066666669,2033
2033-06-14,5,37.29012666666669,36.2865906666667,2033
2033-06-21,10,39.81988500000002,37.50529716666669,2033
2033-07-13,8,38.67415666666668,37.20161270833336,2033
2034-07-21,13,39.599715000000025,38.36997346153848,2034
2034-12-07,9,18.251381666666674,16.75263037037039,2034
2034-12-17,3,15.221105000000014,15.04504722222225,2034
2035-01-09,4,15.531815000000032,15.059997916666688,2035
2035-09-05,6,34.522455000000015,33.47682944444446,2035
2035-12-09,5,17.36003333333336,16.55769366666669,2035
2036-04-06,3,25.956366666666696,24.53319611111114,2036
2036-05-22,5,32.15072666666669,31.7133966666667,2036
2036-06-22,3,37.016475000000035,36.2955766666667,2036
2036-06-29,7,39.33964666666668,38.005591904761935,2036
2036-07-07,4,38.52719833333336,37.55543625000002,2036
2036-07-27,5,36.864718333333364,36.55841566666669,2036
2036-08-03,6,38.35825833333337,37.581475833333364,2036
2037-01-06,5,16.57906166666669,15.311586333333356,2037
2037-07-15,4,39.02075666666669,38.289782916666695,2037
2037-07-29,7,37.239100000000015,36.605828809523835,2037
2037-08-17,9,38.7990666666667,37.28149685185187,2037
2037-09-07,3,35.18115166666669,34.67731833333336,2037
2037-11-26,4,19.745571666666677,19.350598750000017,2037
2037-12-03,4,18.585355000000032,18.014275000000026,2037
2037-12-08,4,17.970823333333357,16.837405833333356,2037
2037-12-15,3,15.732881666666694,15.49888722222225,2037
2037-12-22,3,16.2870116666667,15.947327777777803,2037
2038-07-11,3,37.59380333333335,37.072602777777796,2038
2038-07-24,5,38.23791666666668,37.04912166666669,2038
2038-08-05,5,38.85900166666669,37.744354333333355,2038
2038-08-14,5,38.295673333333355,37.782682333333355,2038
2038-08-21,15,38.93900000000002,36.968980333333356,2038
2038-09-20,3,34.23448166666669,33.40789555555558,2038
2039-01-04,3,15.92417666666669,15.277874444444464,2039
2039-07-01,3,37.81212000000002,37.11572000000002,2039
2039-07-13,14,38.75670666666668,37.319780714285734,2039
2039-07-29,32,40.78561166666669,37.86552744791669,2039
2039-09-07,4,34.870128333333355,34.196089166666695,2039
2039-12-02,3,18.44435333333335,18.29310111111113,2039
2040-04-15,3,27.778731666666705,26.648745555555582,2040
2040-07-24,9,38.900203333333344,38.055247777777794,2040
2040-08-31,3,34.83035833333336,34.67854722222226,2040
2040-12-11,7,17.38587166666669,16.365076190476213,2040
2041-01-22,3,15.888238333333353,15.421269444444464,2041
2041-07-22,9,40.30259000000003,38.14534555555558,2041
2041-08-03,12,39.30830833333335,38.014246111111134,2041
2041-08-27,5,38.16795000000002,37.05044200000002,2041
2042-07-16,5,40.16474833333336,38.764367666666686,2042
2042-07-27,10,38.23070000000001,37.39993400000002,2042
2042-08-16,3,37.133085,36.553621666666686,2042
2043-04-01,5,24.211938333333347,23.177752333333355,2043
2043-07-09,4,38.629545000000036,37.92119666666669,2043
2043-07-14,27,42.843670000000024,38.21415345679014,2043
2043-08-13,8,38.45645833333335,37.42478375000002,2043
2044-02-19,3,18.840866666666688,18.042554444444473,2044
2044-06-02,6,33.99088333333336,33.633137500000025,2044
2044-06-30,15,41.900010000000016,39.02922555555558,2044
2044-07-16,21,41.81605500000003,39.76368000000002,2044
2044-08-10,8,39.84905333333335,38.042473333333355,2044
2044-08-23,5,37.516123333333354,36.41321200000002,2044
2044-09-03,3,35.098666666666695,34.17185000000003,2044
2044-09-22,9,33.796736666666696,32.13579092592595,2044
2044-11-19,4,21.560841666666676,20.585366666666687,2044
2044-12-16,3,15.661895000000024,15.506241666666687,2044
2045-01-03,7,17.319208333333364,15.789546666666691,2045
2045-01-23,5,15.985213333333368,15.435229666666691,2045
2045-03-11,3,21.588621666666693,20.933723333333354,2045
2045-07-24,5,38.25941500000002,37.42418566666669,2045
2045-08-01,10,39.69156166666669,37.94801966666669,2045
2045-08-14,3,36.159826666666696,36.125572222222246,2045
2045-09-11,4,34.67128833333336,33.63392208333335,2045
2045-09-24,3,32.13259666666668,31.79903388888891,2045
2045-10-02,5,30.407076666666693,30.09777466666669,2045
2045-12-09,3,16.928583333333346,16.30368111111113,2045
2045-12-23,7,17.619045000000018,16.582883333333353,2045
