year,min_spi3_corrected,min_spi3_raw,delta
2026,-1.3489186532784307,-1.2229131349193636,-0.12600551835906715
2027,-0.8918448311976545,-0.8927180937086362,0.0008732625109817427
2028,-2.8696434937839923,-2.7762184424713165,-0.09342505131267576
2029,-2.6325910431564066,-2.1211974347802935,-0.511393608376113
2030,-2.712376187909026,-1.5455883368342815,-1.1667878510747445
2031,-1.2673369151849152,-1.2495805564860398,-0.017756358698875374
2032,-2.62449076204316,-1.9809877536210425,-0.6435030084221174
2033,-2.2278215914285946,-2.4629224950770188,0.23510090364842418
2034,-1.6002581475435251,-1.3332133768576488,-0.2670447706858763
2035,-1.9898506204851576,-1.654440656309367,-0.3354099641757906
2036,-2.4926139990349405,-1.909515338171511,-0.5830986608634294
2037,-3.709711792897929,-3.109676763566666,-0.6000350293312633
2038,-3.644820093421918,-2.6398255590248576,-1.0049945343970603
2039,-2.012672435672223,-2.3702818237358296,0.35760938806360665
2040,-0.8464727045143899,-0.6511945141363629,-0.19527819037802707
2041,-2.788809802128499,-2.855362893617384,0.06655309148888522
2042,-1.9714940907237335,-2.0330549234148263,0.061560832691092804
2043,-3.36196825361274,-2.864084585435912,-0.4978836681768284
2044,-2.1743769849658277,-2.0118519958506766,-0.162524989115151
2045,-2.3733416741213187,-1.8155543394648765,-0.5577873346564421
