year,cmip6_tmin_mean,era5_ols_last15yr_extrapolated,gap_c
2026,13.629622452054816,12.495738387324195,1.133884064730621
2027,13.412421936073082,12.568132573971184,0.8442893621018985
2028,13.493150429223768,12.640526760618144,0.8526236686056237
2029,13.457256913242032,12.712920947265133,0.7443359659768998
2030,13.13555568036532,12.785315133912093,0.350240546453227
2031,13.812335273972625,12.857709320559081,0.9546259534135437
2032,13.816075511415548,12.930103507206042,0.8859720042095063
2033,14.596181534246599,13.00249769385303,1.5936838403935685
2034,14.265368908675821,13.07489188049999,1.190477028175831
2035,15.397423246575364,13.147286067146979,2.2501371794283855
2036,14.553711716895,13.219680253793939,1.334031463101061
2037,13.353135360730615,13.292074440440928,0.06106092028968746
2038,14.451140022831074,13.364468627087888,1.0866713957431866
2039,15.306859219178106,13.436862813734876,1.8699964054432296
2040,13.91606483561646,13.509257000381837,0.4068078352346234
2041,14.616666506849338,13.581651187028825,1.0350153198205128
2042,14.585622771689522,13.654045373675785,0.9315773980137365
2043,14.855729447488606,13.726439560322774,1.1292898871658323
2044,15.698840196347055,13.798833746969734,1.9000064493773205
2045,15.09469869406395,13.871227933616723,1.2234707604472277
