year,era5_historical,cmip6_raw,cmip6_biascorrected,baseline_ols_last15yr,baseline_naive_full_mean
1990,11.222079041095911,,,,
1991,10.392865575342489,,,,
1992,10.089955314207671,,,,
1993,10.699710547945228,,,,
1994,11.819668150684956,,,,
1995,11.137363102739748,,,,
1996,11.348382834699477,,,,
1997,10.81054032191783,,,,
1998,11.69402673972605,,,,
1999,11.770454917808244,,,,
2000,10.69262961748636,,,,
2001,11.4248576712329,,,,
2002,11.248986897260297,,,,
2003,11.229844650684951,,,,
2004,11.04202823087434,,,,
2005,11.055592315068516,,,,
2006,10.93797575342468,,,,
2007,11.57435984931509,,,,
2008,11.838565314207672,,,,
2009,11.814915952054818,,,,
2010,12.242041246575369,,,,
2011,10.75928379452057,,,,
2012,11.657238524590186,,,,
2013,11.883132321917833,,,,
2014,12.382396904109612,,,,
2015,11.531964678082216,,,,
2016,11.883833080601114,,,,
2017,11.396764883561668,,,,
2018,12.129296219178103,,,,
2019,12.148950541095912,,,,
2020,11.66878134562844,,,,
2021,11.950196399427462,,,,
2022,11.754724539142789,,,,
2023,12.25222786681295,,,,
2024,12.832651840793654,,,,
2025,12.517330472763293,,,,
2026,,13.629622452054816,11.899972661426132,12.495738387324195,11.523211596016067
2027,,13.412421936073082,11.698387418413343,12.568132573971184,11.523211596016067
2028,,13.493150429223768,11.753629560481782,12.640526760618144,11.523211596016067
2029,,13.457256913242032,11.65038258787313,12.712920947265133,11.523211596016067
2030,,13.13555568036532,11.420675605488317,12.785315133912093,11.523211596016067
2031,,13.812335273972625,12.164322723337827,12.857709320559081,11.523211596016067
2032,,13.816075511415548,12.12621053827479,12.930103507206042,11.523211596016067
2033,,14.596181534246599,12.933247958097287,13.00249769385303,11.523211596016067
2034,,14.265368908675821,12.585501646360695,13.07489188049999,11.523211596016067
2035,,15.397423246575364,13.921480121059078,13.147286067146979,11.523211596016067
2036,,14.553711716895,12.969658385838699,13.219680253793939,11.523211596016067
2037,,13.353135360730615,11.63418044494044,13.292074440440928,11.523211596016067
2038,,14.451140022831074,12.657784398947713,13.364468627087888,11.523211596016067
2039,,15.306859219178106,13.758829261378773,13.436862813734876,11.523211596016067
2040,,13.91606483561646,12.232998544106325,13.509257000381837,11.523211596016067
2041,,14.616666506849338,13.019061057037446,13.581651187028825,11.523211596016067
2042,,14.585622771689522,13.197879044139343,13.654045373675785,11.523211596016067
2043,,14.855729447488606,13.144679419134308,13.726439560322774,11.523211596016067
2044,,15.698840196347055,14.357604257402842,13.798833746969734,11.523211596016067
2045,,15.09469869406395,13.547331304646391,13.871227933616723,11.523211596016067
