valid_time,year,month,precip_3mo_raw,spi3_raw,precip_3mo_corrected,spi3_corrected
2026-01-01,2026,1,,,,
2026-02-01,2026,2,,,,
2026-03-01,2026,3,149.04409647655888,-0.5230481990842938,139.84986455241517,-0.6770126729208533
2026-04-01,2026,4,128.2017138753106,-0.8198532677370433,160.51687700824561,-0.16873315941158143
2026-05-01,2026,5,144.61876387142382,-0.16652229254812215,205.8380536856527,0.9212902698624281
2026-06-01,2026,6,180.28495086376685,1.220804950068783,208.4548296878405,1.6457234050367837
2026-07-01,2026,7,146.59089946174424,1.1028892132866195,142.22516853970507,1.0345300227203713
2026-08-01,2026,8,89.0216698345701,0.5429209559847895,52.894816189677314,-0.24828023298329555
2026-09-01,2026,9,35.578303837711516,-1.2229131349193636,33.86503802247033,-1.2884511443639117
2026-10-01,2026,10,56.56096406077579,-1.0734239724077672,46.87087311318302,-1.3489186532784307
2026-11-01,2026,11,172.17837922909933,0.281493070991628,129.84001732944034,-0.3928129761044345
2026-12-01,2026,12,239.01953215551038,0.7292544987112999,192.1991615983829,-0.04902788935230806
2027-01-01,2027,1,220.92088548943366,0.18055071638494435,177.50233380016516,-0.375102191024993
2027-02-01,2027,2,171.17168254843705,-0.41258634100648367,166.57922481565535,-0.4797976778760719
2027-03-01,2027,3,127.63353225789706,-0.8927180937086362,127.68144804861853,-0.8918448311976545
2027-04-01,2027,4,170.9251490778376,0.02191453644836681,232.71127672868528,1.0190412522314392
2027-05-01,2027,5,137.39740726740376,-0.31400396023833876,195.26970796944548,0.7504491313566003
2027-06-01,2027,6,200.72668914573507,1.5330072613617014,210.6232671571949,1.6768708772533623
2027-07-01,2027,7,169.32476694281368,1.4392857930984462,136.0612173211431,0.9356721995990884
2027-08-01,2027,8,146.44061908216042,1.444137122663498,123.022444860683,1.1101258430699712
2027-09-01,2027,9,59.731749185815296,-0.47546206580143485,85.36845045096346,0.1133704189919149
2027-10-01,2027,10,87.30138644041998,-0.37560989425030705,115.34376071420085,0.12470167677796569
2027-11-01,2027,11,109.04811639366963,-0.7800822244140605,106.496722579163,-0.8310082721272077
2027-12-01,2027,12,164.58978894961353,-0.5693200893548453,163.33954043264976,-0.5942331038470181
2028-01-01,2028,1,112.00811182191465,-1.4254865476977179,85.41198276478559,-1.9795295160164192
2028-02-01,2028,2,94.39423723564133,-1.7616362511175312,87.53052926995085,-1.9163135196721743
2028-03-01,2028,3,57.90062077580214,-2.5329443013990747,48.069897918137414,-2.8696434937839923
2028-04-01,2028,4,58.398912338700576,-2.7762184424713165,58.71860456965912,-2.764095361669637
2028-05-01,2028,5,129.1961814628001,-0.4879899210210923,164.706893371271,0.21933500945227613
2028-06-01,2028,6,150.12059355844985,0.7152256591179839,158.92655628788,0.8691639513517195
2028-07-01,2028,7,140.64742463672624,1.0094935007063097,143.56358861413486,1.055628953105403
2028-08-01,2028,8,69.4352191279438,0.14831995004808307,49.75307482037621,-0.3329016409844073
2028-09-01,2028,9,39.24521994994892,-1.089926001938164,54.821807847959136,-0.6073050110130966
2028-10-01,2028,10,102.28820242882566,-0.09659458259530052,116.13696466521088,0.13759296142855598
2028-11-01,2028,11,167.42315289360232,0.21173271042559844,137.5338198741024,-0.2602758865685645
2028-12-01,2028,12,197.1202696272079,0.03833575109041475,156.0595853404226,-0.7419305025835088
2029-01-01,2029,1,160.65905031330084,-0.6154926001739504,118.43729883979964,-1.3058822707413136
2029-02-01,2029,2,115.48183333617493,-1.3315390109138612,111.31625652772482,-1.4118159698654227
2029-03-01,2029,3,94.06963019842485,-1.5706468316232114,91.7250270141275,-1.6240157324055828
2029-04-01,2029,4,90.79253008782892,-1.7341898439795733,111.19380833179564,-1.208767346461653
2029-05-01,2029,5,131.5141423413142,-0.4380748403735864,176.38569245475315,0.4294059267116253
2029-06-01,2029,6,143.06639827044617,0.5875919315633156,167.34375156937764,1.0111963614542558
2029-07-01,2029,7,117.72494313014872,0.6232244617897038,126.21682285306068,0.771590655033704
2029-08-01,2029,8,54.976166581290535,-0.1941040081672477,44.649826751033295,-0.4785950096933495
